timestamps population node_ids
59.40000000009877 V1 12
8580.70000001548 V1 439
8595.800000015259 V1 439
8605.100000015125 V1 439
8620.500000014901 V1 439
8646.800000014518 V1 439
8662.900000014284 V1 439
8835.200000011777 V1 439
8569.000000015649 V1 439
8851.900000011534 V1 439
8877.700000011158 V1 439
8559.800000015784 V1 440
8578.00000001552 V1 440
8600.200000015197 V1 440
8625.500000014828 V1 440
8855.200000011486 V1 440
8876.300000011179 V1 440
8864.600000011349 V1 439
8568.900000015652 V1 441
8553.500000015876 V1 439
8848.400000011585 V1 438
8879.300000011135 V1 436
8555.30000001585 V1 437
8572.300000015603 V1 437
8585.000000015418 V1 437
8598.900000015215 V1 437
8616.100000014965 V1 437
8652.200000014442 V1 437
8866.100000011327 V1 438
8834.30000001179 V1 437
8872.400000011237 V1 437
8555.500000015847 V1 438
8571.000000015621 V1 438
8584.500000015425 V1 438
8603.200000015153 V1 438
8621.600000014885 V1 438
8662.50000001429 V1 438
8854.90000001149 V1 437
8587.400000015383 V1 441
8615.10000001498 V1 441
8678.000000014064 V1 441
8668.900000014197 V1 444
8838.500000011729 V1 444
8858.600000011436 V1 444
8874.000000011212 V1 444
8564.400000015718 V1 445
8582.400000015457 V1 445
8608.000000015083 V1 445
8641.500000014596 V1 444
8859.500000011423 V1 445
8573.200000015591 V1 446
8586.600000015394 V1 446
8601.200000015182 V1 446
8617.400000014946 V1 446
8651.400000014452 V1 446
8840.700000011697 V1 446
8858.800000011433 V1 446
8559.000000015796 V1 446
8611.600000015029 V1 444
8590.200000015342 V1 444
8574.700000015568 V1 444
8861.000000011401 V1 441
8880.900000011112 V1 441
8562.600000015744 V1 442
8578.300000015515 V1 442
8600.500000015192 V1 442
8622.400000014874 V1 442
8664.200000014265 V1 442
8853.400000011512 V1 442
8873.600000011218 V1 442
8562.000000015752 V1 443
8574.300000015572 V1 443
8587.400000015383 V1 443
8611.400000015034 V1 443
8650.000000014472 V1 443
8855.000000011489 V1 443
8874.100000011209 V1 443
8559.100000015795 V1 444
8859.900000011417 V1 436
8873.400000011221 V1 446
8671.400000014159 V1 436
8597.400000015237 V1 436
8661.300000014307 V1 427
8867.600000011305 V1 427
8556.500000015832 V1 428
8571.000000015621 V1 428
8582.80000001545 V1 428
8599.700000015204 V1 428
8623.100000014863 V1 428
8605.000000015127 V1 427
8640.200000014614 V1 428
8835.00000001178 V1 428
8859.800000011419 V1 428
8875.600000011189 V1 428
8564.600000015715 V1 429
8584.600000015424 V1 429
8604.600000015133 V1 429
8638.800000014635 V1 429
8666.200000014236 V1 428
8865.20000001134 V1 429
8584.80000001542 V1 427
8873.000000011227 V1 426
8605.100000015125 V1 423
8626.80000001481 V1 423
8862.800000011375 V1 423
8569.000000015649 V1 424
8586.90000001539 V1 424
8609.400000015063 V1 424
8859.000000011429 V1 424
8565.6000000157 V1 427
8558.600000015802 V1 425
8598.60000001522 V1 425
8623.400000014859 V1 425
8666.300000014235 V1 425
8857.50000001145 V1 425
8569.200000015648 V1 426
8589.800000015348 V1 426
8607.50000001509 V1 426
8577.200000015531 V1 425
8562.80000001574 V1 430
8579.700000015495 V1 430
8599.000000015214 V1 430
8573.600000015584 V1 434
8588.000000015374 V1 434
8604.80000001513 V1 434
8624.800000014839 V1 434
8668.300000014207 V1 434
8856.800000011463 V1 434
8873.700000011217 V1 434
8558.7000000158 V1 434
8556.800000015828 V1 435
8591.900000015317 V1 435
8616.000000014967 V1 435
8662.100000014296 V1 435
8852.400000011527 V1 435
8871.700000011246 V1 435
8563.50000001573 V1 436
8577.600000015525 V1 436
8573.400000015587 V1 435
8861.400000011396 V1 433
8614.500000014988 V1 433
8582.100000015458 V1 433
8619.800000014911 V1 430
8648.1000000145 V1 430
8850.200000011559 V1 430
8870.70000001126 V1 430
8555.700000015844 V1 431
8572.300000015603 V1 431
8585.700000015408 V1 431
8602.400000015165 V1 431
8622.400000014874 V1 431
8642.400000014582 V1 431
8666.100000014238 V1 431
8835.200000011777 V1 431
8858.000000011445 V1 431
8873.800000011215 V1 431
8568.600000015656 V1 432
8587.200000015386 V1 432
8563.700000015728 V1 433
8617.20000001495 V1 436
8583.800000015435 V1 423
8556.300000015835 V1 447
8591.600000015322 V1 447
8605.700000015117 V1 465
8854.100000011502 V1 465
8872.300000011237 V1 465
8564.900000015708 V1 466
8579.800000015493 V1 466
8604.500000015134 V1 466
8854.800000011492 V1 466
8580.400000015485 V1 465
8878.400000011148 V1 466
8576.100000015547 V1 467
8855.100000011487 V1 467
8876.800000011172 V1 467
8558.000000015809 V1 468
8573.90000001558 V1 468
8588.30000001537 V1 468
8837.70000001174 V1 468
8555.800000015843 V1 467
8858.30000001144 V1 468
8564.800000015712 V1 465
8858.600000011436 V1 464
8878.800000011142 V1 461
8565.800000015697 V1 462
8579.900000015492 V1 462
8601.500000015178 V1 462
8856.600000011465 V1 462
8874.600000011204 V1 462
8562.000000015752 V1 463
8873.200000011224 V1 464
8577.100000015533 V1 463
8854.400000011497 V1 463
8878.500000011147 V1 463
8560.900000015768 V1 464
8573.80000001558 V1 464
8584.90000001542 V1 464
8604.000000015141 V1 464
8841.800000011679 V1 464
8597.90000001523 V1 463
8570.800000015624 V1 469
8586.000000015403 V1 469
8849.800000011564 V1 469
8855.300000011484 V1 475
8559.900000015783 V1 476
8578.100000015518 V1 476
8591.00000001533 V1 476
8836.200000011762 V1 476
8855.60000001148 V1 476
8558.500000015803 V1 477
8586.600000015394 V1 475
8584.400000015426 V1 477
8575.500000015556 V1 478
8605.100000015125 V1 478
8858.000000011445 V1 478
8558.500000015803 V1 479
8576.100000015547 V1 479
8590.200000015342 V1 479
8851.700000011537 V1 479
8848.70000001158 V1 477
8565.400000015703 V1 475
8859.800000011419 V1 474
8841.300000011688 V1 474
8869.200000011282 V1 469
8578.100000015518 V1 470
8863.000000011372 V1 470
8565.300000015704 V1 471
8583.300000015442 V1 471
8858.100000011444 V1 471
8563.900000015725 V1 472
8579.900000015492 V1 472
8605.100000015125 V1 472
8842.900000011665 V1 472
8859.800000011419 V1 472
8571.600000015613 V1 473
8589.800000015348 V1 473
8840.600000011698 V1 473
8862.700000011377 V1 473
8560.900000015768 V1 474
8582.700000015451 V1 474
8852.300000011528 V1 461
8573.80000001558 V1 447
8607.600000015089 V1 461
8561.200000015764 V1 461
8662.300000014293 V1 450
8834.30000001179 V1 450
8854.800000011492 V1 450
8872.000000011241 V1 450
8553.90000001587 V1 451
8570.000000015636 V1 451
8582.200000015458 V1 451
8624.00000001485 V1 450
8597.700000015233 V1 451
8664.000000014268 V1 451
8834.900000011781 V1 451
8852.90000001152 V1 451
8867.700000011304 V1 451
8880.900000011112 V1 451
8582.400000015457 V1 452
8874.000000011212 V1 452
8611.300000015035 V1 451
8565.400000015703 V1 453
8606.300000015108 V1 450
8581.100000015475 V1 450
8626.700000014811 V1 447
8856.600000011465 V1 447
8879.100000011138 V1 447
8570.600000015627 V1 448
8604.80000001513 V1 448
8867.700000011304 V1 448
8556.100000015838 V1 449
8593.400000015296 V1 450
8573.90000001558 V1 449
8602.400000015165 V1 449
8626.80000001481 V1 449
8841.300000011688 V1 449
8854.800000011492 V1 449
8873.400000011221 V1 449
8552.600000015891 V1 450
8570.900000015623 V1 450
8587.60000001538 V1 449
8580.00000001549 V1 453
8603.300000015151 V1 453
8857.300000011455 V1 453
8860.200000011413 V1 458
8875.000000011198 V1 458
8566.400000015688 V1 459
8579.500000015498 V1 459
8595.400000015266 V1 459
8855.500000011481 V1 459
8873.400000011221 V1 459
8848.100000011591 V1 458
8554.100000015867 V1 460
8580.400000015485 V1 460
