timestamps population node_ids
444.3000000001668 V1 3
9863.899999996807 V1 84
9932.499999995807 V1 84
9663.299999999726 V1 85
9689.899999999341 V1 85
9860.899999996851 V1 85
9931.299999995828 V1 85
9660.89999999976 V1 86
9692.5999999993 V1 86
9697.299999999232 V1 84
9711.299999999028 V1 86
9865.399999996784 V1 86
9922.899999995949 V1 86
9659.999999999774 V1 87
9687.699999999373 V1 87
9706.399999999101 V1 87
9854.299999996949 V1 87
9870.59999999671 V1 87
9922.79999999595 V1 87
9851.99999999698 V1 86
9662.199999999742 V1 88
9671.099999999611 V1 84
9854.299999996949 V1 83
9712.199999999017 V1 80
9849.99999999701 V1 80
9866.49999999677 V1 80
9922.099999995959 V1 80
9662.099999999744 V1 81
9681.499999999462 V1 81
9697.59999999923 V1 81
9719.699999998906 V1 81
9922.899999995949 V1 83
9858.39999999689 V1 81
9923.299999995943 V1 81
9936.999999995744 V1 81
9660.399999999769 V1 82
9689.299999999348 V1 82
9853.39999999696 V1 82
9924.89999999592 V1 82
9661.299999999756 V1 83
9688.399999999361 V1 83
9874.399999996656 V1 81
9694.299999999275 V1 88
9859.099999996875 V1 88
9880.19999999657 V1 88
9660.399999999769 V1 94
9693.89999999928 V1 94
9713.89999999899 V1 94
9856.599999996914 V1 94
9924.599999995924 V1 94
9667.399999999669 V1 95
9706.199999999102 V1 95
9874.299999996656 V1 95
9933.0999999958 V1 93
9661.499999999753 V1 96
9864.2999999968 V1 96
9659.59999999978 V1 97
9687.599999999373 V1 97
9707.69999999908 V1 97
9849.399999997018 V1 97
9865.199999996788 V1 97
9923.699999995937 V1 97
9709.099999999058 V1 99
9708.199999999073 V1 96
9870.199999996716 V1 93
9694.499999999272 V1 93
9667.999999999658 V1 93
9930.599999995837 V1 88
9712.999999999003 V1 89
9862.899999996822 V1 89
9668.59999999965 V1 90
9700.499999999185 V1 90
9870.099999996717 V1 90
9936.099999995755 V1 90
9660.799999999765 V1 91
9688.599999999358 V1 91
9705.199999999117 V1 91
9851.099999996994 V1 91
9868.299999996745 V1 91
9923.799999995936 V1 91
9663.69999999972 V1 92
9688.49999999936 V1 92
9706.99999999909 V1 92
9859.499999996873 V1 92
9875.599999996635 V1 92
9928.099999995871 V1 92
9688.299999999364 V1 80
9870.39999999671 V1 99
9659.69999999978 V1 80
9863.999999996806 V1 79
9864.699999996796 V1 69
9921.899999995965 V1 69
9947.899999995583 V1 69
9660.699999999764 V1 70
9683.299999999435 V1 70
9696.199999999248 V1 70
9713.699999998991 V1 70
9858.699999996883 V1 70
9708.199999999073 V1 69
9879.49999999658 V1 70
9947.599999995591 V1 70
9659.59999999978 V1 71
9676.699999999533 V1 71
9692.099999999307 V1 71
9708.499999999069 V1 71
9854.199999996948 V1 71
9868.099999996746 V1 71
9919.299999996 V1 71
9920.799999995981 V1 70
9933.699999995792 V1 71
9686.199999999391 V1 69
9929.599999995851 V1 68
9662.199999999742 V1 65
9691.399999999318 V1 65
9720.999999998889 V1 65
9862.699999996823 V1 65
9921.699999995966 V1 65
9957.699999995442 V1 65
9680.89999999947 V1 66
9707.399999999085 V1 66
9664.199999999712 V1 69
9872.199999996688 V1 66
9660.199999999772 V1 67
9689.999999999338 V1 67
9851.199999996992 V1 67
9919.699999995995 V1 67
9956.39999999546 V1 67
9672.299999999595 V1 68
9697.899999999223 V1 68
9871.499999996695 V1 68
9935.699999995762 V1 66
9954.099999995495 V1 71
9661.499999999753 V1 72
9688.299999999364 V1 72
9661.899999999749 V1 77
9689.499999999345 V1 77
9705.69999999911 V1 77
9856.999999996908 V1 77
9871.89999999669 V1 77
9923.199999995944 V1 77
9954.599999995487 V1 77
9603.000000000604 V1 78
9873.699999996665 V1 76
9664.799999999705 V1 78
9702.499999999156 V1 78
9721.39999999888 V1 78
9863.09999999682 V1 78
9885.199999996497 V1 78
9922.899999995949 V1 78
9979.79999999512 V1 78
9667.699999999662 V1 79
9697.99999999922 V1 79
9689.099999999351 V1 78
9702.199999999159 V1 76
9921.899999995965 V1 75
9866.49999999677 V1 75
9713.799999998992 V1 72
9859.399999996873 V1 72
9921.499999995971 V1 72
