timestamps population node_ids
123.70000000009512 V1 23
8619.700000014913 V1 425
8639.600000014623 V1 425
8607.900000015086 V1 426
8625.800000014824 V1 426
8642.200000014585 V1 426
8604.10000001514 V1 427
8623.700000014855 V1 427
8601.40000001518 V1 425
8642.000000014588 V1 427
8607.300000015093 V1 428
8620.900000014895 V1 428
8634.700000014695 V1 428
8608.400000015077 V1 429
8624.400000014844 V1 429
8633.900000014706 V1 429
8605.000000015127 V1 430
8583.800000015435 V1 428
8626.400000014815 V1 424
8606.400000015106 V1 424
8638.900000014633 V1 423
8586.500000015396 V1 420
8601.300000015179 V1 420
8611.70000001503 V1 420
8623.400000014859 V1 420
8637.500000014654 V1 420
8873.300000011222 V1 420
8591.500000015323 V1 421
8605.100000015125 V1 421
8620.900000014895 V1 421
8635.300000014686 V1 421
8874.8000000112 V1 421
8592.600000015307 V1 422
8606.900000015099 V1 422
8621.900000014879 V1 422
8636.800000014664 V1 422
8604.200000015138 V1 423
8622.00000001488 V1 423
8621.800000014882 V1 430
8642.300000014584 V1 419
8637.900000014648 V1 430
8607.400000015092 V1 431
8867.400000011308 V1 437
8601.800000015173 V1 438
8615.600000014972 V1 438
8625.500000014828 V1 438
8639.600000014623 V1 438
8589.00000001536 V1 439
8607.900000015086 V1 439
8634.3000000147 V1 437
8620.300000014904 V1 439
8866.900000011316 V1 439
8607.000000015098 V1 440
8621.700000014884 V1 440
8636.800000014664 V1 440
8611.300000015035 V1 441
8627.900000014792 V1 441
8606.700000015102 V1 442
8632.500000014727 V1 439
8620.700000014898 V1 437
8609.400000015063 V1 437
8590.700000015335 V1 437
8621.400000014888 V1 431
8635.300000014686 V1 431
8874.600000011204 V1 431
8609.400000015063 V1 432
8633.500000014712 V1 432
8608.600000015074 V1 433
8628.10000001479 V1 433
8594.400000015281 V1 434
8610.100000015053 V1 434
8625.000000014836 V1 434
8638.800000014635 V1 434
8594.700000015277 V1 435
8612.900000015012 V1 435
8627.5000000148 V1 435
8607.50000001509 V1 436
8622.700000014871 V1 436
8638.900000014633 V1 436
8589.300000015355 V1 431
8621.30000001489 V1 419
8604.500000015134 V1 419
8634.3000000147 V1 418
8600.500000015192 V1 402
8610.700000015044 V1 402
8624.400000014844 V1 402
8639.600000014623 V1 402
