node_type_id Sig pop_name dynamics_params rotation_angle_zaxis location model_type model_processing rotation_angle_yaxis ei model_template Int morphology rotation_angle_xaxis
100 1.45 Scnn1a 472363762_fit.json -3.74 L6 biophysical aibs_perisomatic -3.14 2e1 ctdb:Biophys1.hoc P2 Scnn1a_473845048_m.swc 3.74
101 4.5 PV1 472912177_fit.json -3.74 L6 biophysical aibs_perisomatic -3.14 2i1 ctdb:Biophys1.hoc P2 Pvalb_470522102_m.swc 3.74
102 4 Sst 323452196_fit.json -3.74 L6 biophysical aibs_perisomatic -3.14 2i1 ctdb:Biophys1.hoc P2 Sst_513556739_m.swc 3.74
103 2 VIP 475585413_fit.json -3.74 L6 biophysical aibs_perisomatic -3.14 2i1 ctdb:Biophys1.hoc P2 Htr3a_492100857_m.swc 3.74
104 1.45 Scnn1a 472363762_fit.json -3.74 L5 biophysical aibs_perisomatic -3.14 2e1 ctdb:Biophys1.hoc P2 Scnn1a_473845048_m.swc 3.74
105 4.5 PV1 472912177_fit.json -3.74 L5 biophysical aibs_perisomatic -3.14 2i1 ctdb:Biophys1.hoc P2 Pvalb_470522102_m.swc 3.74
106 4 Sst 323452196_fit.json -3.74 L5 biophysical aibs_perisomatic -3.14 2i1 ctdb:Biophys1.hoc P2 Sst_513556739_m.swc 3.74
107 2 VIP 475585413_fit.json -3.74 L5 biophysical aibs_perisomatic -3.14 2i1 ctdb:Biophys1.hoc P2 Htr3a_492100857_m.swc 3.74
108 1.45 Scnn1a 472363762_fit.json -3.74 L4 biophysical aibs_perisomatic -3.14 2e1 ctdb:Biophys1.hoc P2 Scnn1a_473845048_m.swc 3.74
109 4.5 PV1 472912177_fit.json -3.74 L4 biophysical aibs_perisomatic -3.14 2i1 ctdb:Biophys1.hoc P2 Pvalb_470522102_m.swc 3.74
110 4 Sst 323452196_fit.json -3.74 L4 biophysical aibs_perisomatic -3.14 2i1 ctdb:Biophys1.hoc P2 Sst_513556739_m.swc 3.74
111 2 VIP 475585413_fit.json -3.74 L4 biophysical aibs_perisomatic -3.14 2i1 ctdb:Biophys1.hoc P2 Htr3a_492100857_m.swc 3.74
112 1.45 Scnn1a 472363762_fit.json -3.74 L2 biophysical aibs_perisomatic -3.14 2e1 ctdb:Biophys1.hoc P2 Scnn1a_473845048_m.swc 3.74
113 4.5 PV1 472912177_fit.json -3.74 L2 biophysical aibs_perisomatic -3.14 2i1 ctdb:Biophys1.hoc P2 Pvalb_470522102_m.swc 3.74
114 4 Sst 323452196_fit.json -3.74 L2 biophysical aibs_perisomatic -3.14 2i1 ctdb:Biophys1.hoc P2 Sst_513556739_m.swc 3.74
115 2 VIP 475585413_fit.json -3.74 L2 biophysical aibs_perisomatic -3.14 2i1 ctdb:Biophys1.hoc P2 Htr3a_492100857_m.swc 3.74
