edge_type_id target_query source_query syn_weight dynamics_params delay weight_sigma weight_function target_sections model_template distance_range
100 location=='L2'&ei=='2e1' location=='L2'&ei=='2e1' 0.00035 ExcToExc.json 1.6 5.0 gaussianLL_Inter_Layer "['basal', 'apical']" exp2syn "[0.0, 1e+20]"
101 location=='L2'&ei=='2i1'&pop_name=='PV1' location=='L2'&ei=='2e1' 0.003 ExcToInh.json 1.2 15.0 gaussianLL_Inter_Layer "['somatic', 'basal']" exp2syn "[0.0, 1e+20]"
102 location=='L2'&ei=='2i1'&pop_name=='Sst' location=='L2'&ei=='2e1' 0.001875 ExcToInh.json 1.5 10.0 gaussianLL_Inter_Layer "['somatic', 'basal']" exp2syn "[0.0, 1e+20]"
103 location=='L2'&ei=='2i1'&pop_name=='VIP' location=='L2'&ei=='2e1' 0.0015 ExcToInh.json 1.5 5.0 gaussianLL_Inter_Layer "['somatic', 'basal']" exp2syn "[0.0, 1e+20]"
104 location=='L2'&pop_name=='PV1'&ei=='2i1' location=='L2'&pop_name=='PV1'&ei=='2i1' 0.002424 InhToInh.json 1.6 15.0 gaussianLL_Inter_Layer "['somatic', 'basal']" exp2syn "[0.0, 1e+20]"
105 location=='L2'&pop_name=='Scnn1a'&ei=='2e1' location=='L2'&pop_name=='PV1'&ei=='2i1' 0.0024 InhToExc.json 0.9 15.0 gaussianLL_Inter_Layer "['somatic', 'basal', 'apical']" exp2syn "[0.0, 1e+20]"
106 location=='L2'&pop_name=='VIP'&ei=='2i1' location=='L2'&pop_name=='PV1'&ei=='2i1' 0.0005279999999999999 InhToInh.json 1.2 15.0 gaussianLL_Inter_Layer "['somatic', 'basal']" exp2syn "[0.0, 1e+20]"
107 location=='L2'&pop_name=='VIP'&ei=='2i1' location=='L2'&pop_name=='Sst'&ei=='2i1' 0.0018479999999999998 InhToInh.json 1.5 15.0 gaussianLL_Inter_Layer ['basal'] exp2syn "[0.0, 1e+20]"
108 location=='L2'&pop_name=='PV1'&ei=='2i1' location=='L2'&pop_name=='Sst'&ei=='2i1' 0.000792 InhToInh.json 1.5 15.0 gaussianLL_Inter_Layer ['basal'] exp2syn "[0.0, 1e+20]"
109 location=='L2'&pop_name=='Scnn1a'&ei=='2e1' location=='L2'&pop_name=='Sst'&ei=='2i1' 0.0024 InhToExc.json 1.5 15.0 gaussianLL_Inter_Layer "['basal', 'apical']" exp2syn "[0.0, 1e+20]"
