edge_type_id target_query source_query syn_weight target_sections weight_function weight_sigma model_template delay distance_range dynamics_params
100 location=='L2'&ei=='2e1' location=='L2'&ei=='2e1' 0.00035 "['basal', 'apical']" gaussianLL_Inter_Layer 5.0 exp2syn 1.6 "[0.0, 1e+20]" ExcToExc.json
101 location=='L2'&ei=='2i1'&pop_name=='PV1' location=='L2'&ei=='2e1' 0.003 "['somatic', 'basal']" gaussianLL_Inter_Layer 15.0 exp2syn 1.2 "[0.0, 1e+20]" ExcToInh.json
102 location=='L2'&ei=='2i1'&pop_name=='Sst' location=='L2'&ei=='2e1' 0.001875 "['somatic', 'basal']" gaussianLL_Inter_Layer 10.0 exp2syn 1.5 "[0.0, 1e+20]" ExcToInh.json
103 location=='L2'&ei=='2i1'&pop_name=='VIP' location=='L2'&ei=='2e1' 0.0015 "['somatic', 'basal']" gaussianLL_Inter_Layer 5.0 exp2syn 1.5 "[0.0, 1e+20]" ExcToInh.json
104 location=='L2'&pop_name=='PV1'&ei=='2i1' location=='L2'&pop_name=='PV1'&ei=='2i1' 0.002424 "['somatic', 'basal']" gaussianLL_Inter_Layer 15.0 exp2syn 1.6 "[0.0, 1e+20]" InhToInh.json
105 location=='L2'&pop_name=='Scnn1a'&ei=='2e1' location=='L2'&pop_name=='PV1'&ei=='2i1' 0.0024 "['somatic', 'basal', 'apical']" gaussianLL_Inter_Layer 15.0 exp2syn 0.9 "[0.0, 1e+20]" InhToExc.json
106 location=='L2'&pop_name=='VIP'&ei=='2i1' location=='L2'&pop_name=='PV1'&ei=='2i1' 0.0005279999999999999 "['somatic', 'basal']" gaussianLL_Inter_Layer 15.0 exp2syn 1.2 "[0.0, 1e+20]" InhToInh.json
107 location=='L2'&pop_name=='VIP'&ei=='2i1' location=='L2'&pop_name=='Sst'&ei=='2i1' 0.0018479999999999998 ['basal'] gaussianLL_Inter_Layer 15.0 exp2syn 1.5 "[0.0, 1e+20]" InhToInh.json
108 location=='L2'&pop_name=='PV1'&ei=='2i1' location=='L2'&pop_name=='Sst'&ei=='2i1' 0.000792 ['basal'] gaussianLL_Inter_Layer 15.0 exp2syn 1.5 "[0.0, 1e+20]" InhToInh.json
109 location=='L2'&pop_name=='Scnn1a'&ei=='2e1' location=='L2'&pop_name=='Sst'&ei=='2i1' 0.0024 "['basal', 'apical']" gaussianLL_Inter_Layer 15.0 exp2syn 1.5 "[0.0, 1e+20]" InhToExc.json
110 location=='L2'&pop_name=='Scnn1a'&ei=='2e1' location=='L2'&pop_name=='VIP'&ei=='2i1' 4.7999999999999994e-05 "['basal', 'apical']" gaussianLL_Inter_Layer 15.0 exp2syn 1.5 "[0.0, 1e+20]" InhToExc.json
111 location=='L2'&pop_name=='Sst'&ei=='2i1' location=='L2'&pop_name=='VIP'&ei=='2i1' 0.047999999999999994 ['basal'] gaussianLL_Inter_Layer 15.0 exp2syn 1.5 "[0.0, 1e+20]" InhToInh.json
112 location=='L4'&ei=='2e1' location=='L4'&ei=='2e1' 0.00035 "['basal', 'apical']" gaussianLL_Inter_Layer 5.0 exp2syn 1.3 "[0.0, 1e+20]" ExcToExc.json
113 location=='L4'&ei=='2i1'&pop_name=='PV1' location=='L4'&ei=='2e1' 0.003 "['somatic', 'basal']" gaussianLL_Inter_Layer 15.0 exp2syn 0.9 "[0.0, 1e+20]" ExcToInh.json
114 location=='L4'&ei=='2i1'&pop_name=='Sst' location=='L4'&ei=='2e1' 0.001875 "['somatic', 'basal']" gaussianLL_Inter_Layer 10.0 exp2syn 1.2 "[0.0, 1e+20]" ExcToInh.json
115 location=='L4'&ei=='2i1'&pop_name=='VIP' location=='L4'&ei=='2e1' 0.0015 "['somatic', 'basal']" gaussianLL_Inter_Layer 5.0 exp2syn 1.2 "[0.0, 1e+20]" ExcToInh.json
116 location=='L4'&pop_name=='PV1'&ei=='2i1' location=='L4'&pop_name=='PV1'&ei=='2i1' 0.002424 "['somatic', 'basal']" gaussianLL_Inter_Layer 15.0 exp2syn 1.3 "[0.0, 1e+20]" InhToInh.json
117 location=='L4'&pop_name=='Scnn1a'&ei=='2e1' location=='L4'&pop_name=='PV1'&ei=='2i1' 0.0024 "['somatic', 'basal', 'apical']" gaussianLL_Inter_Layer 15.0 exp2syn 0.6 "[0.0, 1e+20]" InhToExc.json
118 location=='L4'&pop_name=='VIP'&ei=='2i1' location=='L4'&pop_name=='PV1'&ei=='2i1' 0.0005279999999999999 "['somatic', 'basal']" gaussianLL_Inter_Layer 15.0 exp2syn 0.9 "[0.0, 1e+20]" InhToInh.json
119 location=='L4'&pop_name=='VIP'&ei=='2i1' location=='L4'&pop_name=='Sst'&ei=='2i1' 0.0018479999999999998 ['basal'] gaussianLL_Inter_Layer 15.0 exp2syn 1.2 "[0.0, 1e+20]" InhToInh.json
120 location=='L4'&pop_name=='PV1'&ei=='2i1' location=='L4'&pop_name=='Sst'&ei=='2i1' 0.000792 ['basal'] gaussianLL_Inter_Layer 15.0 exp2syn 1.2 "[0.0, 1e+20]" InhToInh.json
121 location=='L4'&pop_name=='Scnn1a'&ei=='2e1' location=='L4'&pop_name=='Sst'&ei=='2i1' 0.0024 "['basal', 'apical']" gaussianLL_Inter_Layer 15.0 exp2syn 1.2 "[0.0, 1e+20]" InhToExc.json
122 location=='L4'&pop_name=='Scnn1a'&ei=='2e1' location=='L4'&pop_name=='VIP'&ei=='2i1' 4.7999999999999994e-05 "['basal', 'apical']" gaussianLL_Inter_Layer 15.0 exp2syn 1.2 "[0.0, 1e+20]" InhToExc.json
123 location=='L4'&pop_name=='Sst'&ei=='2i1' location=='L4'&pop_name=='VIP'&ei=='2i1' 0.047999999999999994 ['basal'] gaussianLL_Inter_Layer 15.0 exp2syn 1.2 "[0.0, 1e+20]" InhToInh.json
124 location=='L5'&ei=='2e1' location=='L5'&ei=='2e1' 0.00035 "['basal', 'apical']" gaussianLL_Inter_Layer 5.0 exp2syn 1.5 "[0.0, 1e+20]" ExcToExc.json
125 location=='L5'&ei=='2i1'&pop_name=='PV1' location=='L5'&ei=='2e1' 0.003 "['somatic', 'basal']" gaussianLL_Inter_Layer 15.0 exp2syn 1.1 "[0.0, 1e+20]" ExcToInh.json
126 location=='L5'&ei=='2i1'&pop_name=='Sst' location=='L5'&ei=='2e1' 0.001875 "['somatic', 'basal']" gaussianLL_Inter_Layer 10.0 exp2syn 1.4 "[0.0, 1e+20]" ExcToInh.json
127 location=='L5'&ei=='2i1'&pop_name=='VIP' location=='L5'&ei=='2e1' 0.0015 "['somatic', 'basal']" gaussianLL_Inter_Layer 5.0 exp2syn 1.4 "[0.0, 1e+20]" ExcToInh.json
128 location=='L5'&pop_name=='PV1'&ei=='2i1' location=='L5'&pop_name=='PV1'&ei=='2i1' 0.002424 "['somatic', 'basal']" gaussianLL_Inter_Layer 15.0 exp2syn 1.5 "[0.0, 1e+20]" InhToInh.json
129 location=='L5'&pop_name=='Scnn1a'&ei=='2e1' location=='L5'&pop_name=='PV1'&ei=='2i1' 0.0024 "['somatic', 'basal', 'apical']" gaussianLL_Inter_Layer 15.0 exp2syn 0.8 "[0.0, 1e+20]" InhToExc.json
130 location=='L5'&pop_name=='VIP'&ei=='2i1' location=='L5'&pop_name=='PV1'&ei=='2i1' 0.0005279999999999999 "['somatic', 'basal']" gaussianLL_Inter_Layer 15.0 exp2syn 1.1 "[0.0, 1e+20]" InhToInh.json
131 location=='L5'&pop_name=='VIP'&ei=='2i1' location=='L5'&pop_name=='Sst'&ei=='2i1' 0.0018479999999999998 ['basal'] gaussianLL_Inter_Layer 15.0 exp2syn 1.4 "[0.0, 1e+20]" InhToInh.json
132 location=='L5'&pop_name=='PV1'&ei=='2i1' location=='L5'&pop_name=='Sst'&ei=='2i1' 0.000792 ['basal'] gaussianLL_Inter_Layer 15.0 exp2syn 1.4 "[0.0, 1e+20]" InhToInh.json
133 location=='L5'&pop_name=='Scnn1a'&ei=='2e1' location=='L5'&pop_name=='Sst'&ei=='2i1' 0.0024 "['basal', 'apical']" gaussianLL_Inter_Layer 15.0 exp2syn 1.4 "[0.0, 1e+20]" InhToExc.json
134 location=='L5'&pop_name=='Scnn1a'&ei=='2e1' location=='L5'&pop_name=='VIP'&ei=='2i1' 4.7999999999999994e-05 "['basal', 'apical']" gaussianLL_Inter_Layer 15.0 exp2syn 1.4 "[0.0, 1e+20]" InhToExc.json
135 location=='L5'&pop_name=='Sst'&ei=='2i1' location=='L5'&pop_name=='VIP'&ei=='2i1' 0.047999999999999994 ['basal'] gaussianLL_Inter_Layer 15.0 exp2syn 1.4 "[0.0, 1e+20]" InhToInh.json
136 location=='L6'&ei=='2e1' location=='L6'&ei=='2e1' 0.00035 "['basal', 'apical']" gaussianLL_Inter_Layer 5.0 exp2syn 1.8 "[0.0, 1e+20]" ExcToExc.json
137 location=='L6'&ei=='2i1'&pop_name=='PV1' location=='L6'&ei=='2e1' 0.003 "['somatic', 'basal']" gaussianLL_Inter_Layer 15.0 exp2syn 1.4 "[0.0, 1e+20]" ExcToInh.json
138 location=='L6'&ei=='2i1'&pop_name=='Sst' location=='L6'&ei=='2e1' 0.001875 "['somatic', 'basal']" gaussianLL_Inter_Layer 10.0 exp2syn 1.7 "[0.0, 1e+20]" ExcToInh.json
139 location=='L6'&ei=='2i1'&pop_name=='VIP' location=='L6'&ei=='2e1' 0.0015 "['somatic', 'basal']" gaussianLL_Inter_Layer 5.0 exp2syn 1.7 "[0.0, 1e+20]" ExcToInh.json
140 location=='L6'&pop_name=='PV1'&ei=='2i1' location=='L6'&pop_name=='PV1'&ei=='2i1' 0.002424 "['somatic', 'basal']" gaussianLL_Inter_Layer 15.0 exp2syn 1.8 "[0.0, 1e+20]" InhToInh.json
141 location=='L6'&pop_name=='Scnn1a'&ei=='2e1' location=='L6'&pop_name=='PV1'&ei=='2i1' 0.0024 "['somatic', 'basal', 'apical']" gaussianLL_Inter_Layer 15.0 exp2syn 1.1 "[0.0, 1e+20]" InhToExc.json
142 location=='L6'&pop_name=='VIP'&ei=='2i1' location=='L6'&pop_name=='PV1'&ei=='2i1' 0.0005279999999999999 "['somatic', 'basal']" gaussianLL_Inter_Layer 15.0 exp2syn 1.4 "[0.0, 1e+20]" InhToInh.json
143 location=='L6'&pop_name=='VIP'&ei=='2i1' location=='L6'&pop_name=='Sst'&ei=='2i1' 0.0018479999999999998 ['basal'] gaussianLL_Inter_Layer 15.0 exp2syn 1.7 "[0.0, 1e+20]" InhToInh.json
144 location=='L6'&pop_name=='PV1'&ei=='2i1' location=='L6'&pop_name=='Sst'&ei=='2i1' 0.000792 ['basal'] gaussianLL_Inter_Layer 15.0 exp2syn 1.7 "[0.0, 1e+20]" InhToInh.json
145 location=='L6'&pop_name=='Scnn1a'&ei=='2e1' location=='L6'&pop_name=='Sst'&ei=='2i1' 0.0024 "['basal', 'apical']" gaussianLL_Inter_Layer 15.0 exp2syn 1.7 "[0.0, 1e+20]" InhToExc.json
146 location=='L6'&pop_name=='Scnn1a'&ei=='2e1' location=='L6'&pop_name=='VIP'&ei=='2i1' 4.7999999999999994e-05 "['basal', 'apical']" gaussianLL_Inter_Layer 15.0 exp2syn 1.7 "[0.0, 1e+20]" InhToExc.json
147 location=='L6'&pop_name=='Sst'&ei=='2i1' location=='L6'&pop_name=='VIP'&ei=='2i1' 0.047999999999999994 ['basal'] gaussianLL_Inter_Layer 15.0 exp2syn 1.7 "[0.0, 1e+20]" InhToInh.json
148 location=='L4'&ei=='2e1' location=='L2'&ei=='2e1' 0.00035 "['basal', 'apical']" gaussianLL_Laminar 5.0 exp2syn 1.6 "[0.0, 1e+20]" ExcToExc.json
149 location=='L5'&ei=='2e1' location=='L2'&ei=='2e1' 0.0007 "['basal', 'apical']" gaussianLL_Laminar 5.0 exp2syn 1.8 "[0.0, 1e+20]" ExcToExc.json
150 location=='L6'&ei=='2e1' location=='L2'&ei=='2e1' 0.00035 "['basal', 'apical']" gaussianLL_Laminar 5.0 exp2syn 4.9 "[0.0, 1e+20]" ExcToExc.json
151 location=='L4'&ei=='2i1'&pop_name=='PV1' location=='L2'&ei=='2e1' 0.006 "['somatic', 'basal']" gaussianLL_Laminar 15.0 exp2syn 1.2 "[0.0, 1e+20]" ExcToInh.json
152 location=='L4'&ei=='2i1'&pop_name=='Sst' location=='L2'&ei=='2e1' 0.00375 "['somatic', 'basal']" gaussianLL_Laminar 10.0 exp2syn 1.5 "[0.0, 1e+20]" ExcToInh.json
153 location=='L4'&ei=='2i1'&pop_name=='VIP' location=='L2'&ei=='2e1' 0.003 "['somatic', 'basal']" gaussianLL_Laminar 5.0 exp2syn 1.5 "[0.0, 1e+20]" ExcToInh.json
154 location=='L5'&ei=='2i1'&pop_name=='PV1' location=='L2'&ei=='2e1' 0.003 "['somatic', 'basal']" gaussianLL_Laminar 15.0 exp2syn 1.4 "[0.0, 1e+20]" ExcToInh.json
155 location=='L5'&ei=='2i1'&pop_name=='Sst' location=='L2'&ei=='2e1' 0.001875 "['somatic', 'basal']" gaussianLL_Laminar 10.0 exp2syn 1.7 "[0.0, 1e+20]" ExcToInh.json
156 location=='L5'&ei=='2i1'&pop_name=='VIP' location=='L2'&ei=='2e1' 0.0015 "['somatic', 'basal']" gaussianLL_Laminar 5.0 exp2syn 1.7 "[0.0, 1e+20]" ExcToInh.json
157 location=='L6'&ei=='2i1'&pop_name=='PV1' location=='L2'&ei=='2e1' 0.003 "['somatic', 'basal']" gaussianLL_Laminar 15.0 exp2syn 4.5 "[0.0, 1e+20]" ExcToInh.json
158 location=='L6'&ei=='2i1'&pop_name=='Sst' location=='L2'&ei=='2e1' 0.001875 "['somatic', 'basal']" gaussianLL_Laminar 10.0 exp2syn 4.8 "[0.0, 1e+20]" ExcToInh.json
159 location=='L6'&ei=='2i1'&pop_name=='VIP' location=='L2'&ei=='2e1' 0.0015 "['somatic', 'basal']" gaussianLL_Laminar 5.0 exp2syn 4.8 "[0.0, 1e+20]" ExcToInh.json
160 location=='L4'&ei=='2i1'&pop_name=='PV1' location=='L2'&ei=='2i1'&pop_name=='Sst' 0.000792 ['basal'] gaussianLL_Laminar 15.0 exp2syn 1.5 "[0.0, 1e+20]" InhToInh.json
161 location=='L5'&ei=='2i1'&pop_name=='PV1' location=='L2'&ei=='2i1'&pop_name=='Sst' 0.000792 ['basal'] gaussianLL_Laminar 15.0 exp2syn 1.7 "[0.0, 1e+20]" InhToInh.json
162 location=='L6'&ei=='2i1'&pop_name=='PV1' location=='L2'&ei=='2i1'&pop_name=='Sst' 0.000792 ['basal'] gaussianLL_Laminar 15.0 exp2syn 4.8 "[0.0, 1e+20]" InhToInh.json
163 location=='L4'&ei=='2i1'&pop_name=='VIP' location=='L2'&ei=='2i1'&pop_name=='Sst' 0.0018479999999999998 ['basal'] gaussianLL_Laminar 15.0 exp2syn 1.5 "[0.0, 1e+20]" InhToInh.json
