edge_type_id target_query source_query weight_function model_template weight_sigma target_sections dynamics_params syn_weight delay distance_range
100 location=='L2'&ei=='2e1' location=='L2'&ei=='2e1' gaussianLL_Inter_Layer exp2syn 5.0 "['basal', 'apical']" ExcToExc.json 0.00035 1.6 "[0.0, 1e+20]"
101 location=='L2'&ei=='2i1'&pop_name=='PV1' location=='L2'&ei=='2e1' gaussianLL_Inter_Layer exp2syn 15.0 "['somatic', 'basal']" ExcToInh.json 0.003 1.2 "[0.0, 1e+20]"
102 location=='L2'&ei=='2i1'&pop_name=='Sst' location=='L2'&ei=='2e1' gaussianLL_Inter_Layer exp2syn 10.0 "['somatic', 'basal']" ExcToInh.json 0.001875 1.5 "[0.0, 1e+20]"
103 location=='L2'&ei=='2i1'&pop_name=='VIP' location=='L2'&ei=='2e1' gaussianLL_Inter_Layer exp2syn 5.0 "['somatic', 'basal']" ExcToInh.json 0.0015 1.5 "[0.0, 1e+20]"
104 location=='L2'&pop_name=='PV1'&ei=='2i1' location=='L2'&pop_name=='PV1'&ei=='2i1' gaussianLL_Inter_Layer exp2syn 15.0 "['somatic', 'basal']" InhToInh.json 0.002424 1.6 "[0.0, 1e+20]"
105 location=='L2'&pop_name=='Scnn1a'&ei=='2e1' location=='L2'&pop_name=='PV1'&ei=='2i1' gaussianLL_Inter_Layer exp2syn 15.0 "['somatic', 'basal', 'apical']" InhToExc.json 0.0024 0.9 "[0.0, 1e+20]"
106 location=='L2'&pop_name=='VIP'&ei=='2i1' location=='L2'&pop_name=='PV1'&ei=='2i1' gaussianLL_Inter_Layer exp2syn 15.0 "['somatic', 'basal']" InhToInh.json 0.0005279999999999999 1.2 "[0.0, 1e+20]"
107 location=='L2'&pop_name=='VIP'&ei=='2i1' location=='L2'&pop_name=='Sst'&ei=='2i1' gaussianLL_Inter_Layer exp2syn 15.0 ['basal'] InhToInh.json 0.0018479999999999998 1.5 "[0.0, 1e+20]"
108 location=='L2'&pop_name=='PV1'&ei=='2i1' location=='L2'&pop_name=='Sst'&ei=='2i1' gaussianLL_Inter_Layer exp2syn 15.0 ['basal'] InhToInh.json 0.000792 1.5 "[0.0, 1e+20]"
109 location=='L2'&pop_name=='Scnn1a'&ei=='2e1' location=='L2'&pop_name=='Sst'&ei=='2i1' gaussianLL_Inter_Layer exp2syn 15.0 "['basal', 'apical']" InhToExc.json 0.0024 1.5 "[0.0, 1e+20]"
110 location=='L2'&pop_name=='Scnn1a'&ei=='2e1' location=='L2'&pop_name=='VIP'&ei=='2i1' gaussianLL_Inter_Layer exp2syn 15.0 "['basal', 'apical']" InhToExc.json 4.7999999999999994e-05 1.5 "[0.0, 1e+20]"
111 location=='L2'&pop_name=='Sst'&ei=='2i1' location=='L2'&pop_name=='VIP'&ei=='2i1' gaussianLL_Inter_Layer exp2syn 15.0 ['basal'] InhToInh.json 0.047999999999999994 1.5 "[0.0, 1e+20]"
112 location=='L4'&ei=='2e1' location=='L4'&ei=='2e1' gaussianLL_Inter_Layer exp2syn 5.0 "['basal', 'apical']" ExcToExc.json 0.00035 1.3 "[0.0, 1e+20]"
113 location=='L4'&ei=='2i1'&pop_name=='PV1' location=='L4'&ei=='2e1' gaussianLL_Inter_Layer exp2syn 15.0 "['somatic', 'basal']" ExcToInh.json 0.003 0.9 "[0.0, 1e+20]"
114 location=='L4'&ei=='2i1'&pop_name=='Sst' location=='L4'&ei=='2e1' gaussianLL_Inter_Layer exp2syn 10.0 "['somatic', 'basal']" ExcToInh.json 0.001875 1.2 "[0.0, 1e+20]"
115 location=='L4'&ei=='2i1'&pop_name=='VIP' location=='L4'&ei=='2e1' gaussianLL_Inter_Layer exp2syn 5.0 "['somatic', 'basal']" ExcToInh.json 0.0015 1.2 "[0.0, 1e+20]"
116 location=='L4'&pop_name=='PV1'&ei=='2i1' location=='L4'&pop_name=='PV1'&ei=='2i1' gaussianLL_Inter_Layer exp2syn 15.0 "['somatic', 'basal']" InhToInh.json 0.002424 1.3 "[0.0, 1e+20]"
117 location=='L4'&pop_name=='Scnn1a'&ei=='2e1' location=='L4'&pop_name=='PV1'&ei=='2i1' gaussianLL_Inter_Layer exp2syn 15.0 "['somatic', 'basal', 'apical']" InhToExc.json 0.0024 0.6 "[0.0, 1e+20]"
