node_type_id model_template ei Sig Int model_processing rotation_angle_xaxis pop_name location model_type dynamics_params rotation_angle_yaxis rotation_angle_zaxis morphology
100 ctdb:Biophys1.hoc 2e1 1.45 P2 aibs_perisomatic 3.74 Scnn1a L6 biophysical 472363762_fit.json -3.14 -3.74 Scnn1a_473845048_m.swc
101 ctdb:Biophys1.hoc 2i1 4.5 P2 aibs_perisomatic 3.74 PV1 L6 biophysical 472912177_fit.json -3.14 -3.74 Pvalb_470522102_m.swc
102 ctdb:Biophys1.hoc 2i1 4 P2 aibs_perisomatic 3.74 Sst L6 biophysical 323452196_fit.json -3.14 -3.74 Sst_513556739_m.swc
103 ctdb:Biophys1.hoc 2i1 2 P2 aibs_perisomatic 3.74 VIP L6 biophysical 475585413_fit.json -3.14 -3.74 Htr3a_492100857_m.swc
104 ctdb:Biophys1.hoc 2e1 1.45 P2 aibs_perisomatic 3.74 Scnn1a L5 biophysical 472363762_fit.json -3.14 -3.74 Scnn1a_473845048_m.swc
105 ctdb:Biophys1.hoc 2i1 4.5 P2 aibs_perisomatic 3.74 PV1 L5 biophysical 472912177_fit.json -3.14 -3.74 Pvalb_470522102_m.swc
106 ctdb:Biophys1.hoc 2i1 4 P2 aibs_perisomatic 3.74 Sst L5 biophysical 323452196_fit.json -3.14 -3.74 Sst_513556739_m.swc
107 ctdb:Biophys1.hoc 2i1 2 P2 aibs_perisomatic 3.74 VIP L5 biophysical 475585413_fit.json -3.14 -3.74 Htr3a_492100857_m.swc
108 ctdb:Biophys1.hoc 2e1 1.45 P2 aibs_perisomatic 3.74 Scnn1a L4 biophysical 472363762_fit.json -3.14 -3.74 Scnn1a_473845048_m.swc
109 ctdb:Biophys1.hoc 2i1 4.5 P2 aibs_perisomatic 3.74 PV1 L4 biophysical 472912177_fit.json -3.14 -3.74 Pvalb_470522102_m.swc
110 ctdb:Biophys1.hoc 2i1 4 P2 aibs_perisomatic 3.74 Sst L4 biophysical 323452196_fit.json -3.14 -3.74 Sst_513556739_m.swc
111 ctdb:Biophys1.hoc 2i1 2 P2 aibs_perisomatic 3.74 VIP L4 biophysical 475585413_fit.json -3.14 -3.74 Htr3a_492100857_m.swc
112 ctdb:Biophys1.hoc 2e1 1.45 P2 aibs_perisomatic 3.74 Scnn1a L2 biophysical 472363762_fit.json -3.14 -3.74 Scnn1a_473845048_m.swc
113 ctdb:Biophys1.hoc 2i1 4.5 P2 aibs_perisomatic 3.74 PV1 L2 biophysical 472912177_fit.json -3.14 -3.74 Pvalb_470522102_m.swc
114 ctdb:Biophys1.hoc 2i1 4 P2 aibs_perisomatic 3.74 Sst L2 biophysical 323452196_fit.json -3.14 -3.74 Sst_513556739_m.swc
115 ctdb:Biophys1.hoc 2i1 2 P2 aibs_perisomatic 3.74 VIP L2 biophysical 475585413_fit.json -3.14 -3.74 Htr3a_492100857_m.swc
