edge_type_id target_query source_query weight_sigma weight_function distance_range delay model_template syn_weight target_sections dynamics_params
100 location=='L2'&ei=='2e1' location=='L2'&ei=='2e1' 5.0 gaussianLL_Inter_Layer "[0.0, 1e+20]" 1.6 exp2syn 0.00035 "['basal', 'apical']" ExcToExc.json
101 location=='L2'&ei=='2i1'&pop_name=='PV1' location=='L2'&ei=='2e1' 15.0 gaussianLL_Inter_Layer "[0.0, 1e+20]" 1.2 exp2syn 0.003 "['somatic', 'basal']" ExcToInh.json
102 location=='L2'&ei=='2i1'&pop_name=='Sst' location=='L2'&ei=='2e1' 10.0 gaussianLL_Inter_Layer "[0.0, 1e+20]" 1.5 exp2syn 0.001875 "['somatic', 'basal']" ExcToInh.json
103 location=='L2'&ei=='2i1'&pop_name=='VIP' location=='L2'&ei=='2e1' 5.0 gaussianLL_Inter_Layer "[0.0, 1e+20]" 1.5 exp2syn 0.0015 "['somatic', 'basal']" ExcToInh.json
104 location=='L2'&pop_name=='PV1'&ei=='2i1' location=='L2'&pop_name=='PV1'&ei=='2i1' 15.0 gaussianLL_Inter_Layer "[0.0, 1e+20]" 1.6 exp2syn 0.002424 "['somatic', 'basal']" InhToInh.json
105 location=='L2'&pop_name=='Scnn1a'&ei=='2e1' location=='L2'&pop_name=='PV1'&ei=='2i1' 15.0 gaussianLL_Inter_Layer "[0.0, 1e+20]" 0.9 exp2syn 0.0024 "['somatic', 'basal', 'apical']" InhToExc.json
106 location=='L2'&pop_name=='VIP'&ei=='2i1' location=='L2'&pop_name=='PV1'&ei=='2i1' 15.0 gaussianLL_Inter_Layer "[0.0, 1e+20]" 1.2 exp2syn 0.0005279999999999999 "['somatic', 'basal']" InhToInh.json
107 location=='L2'&pop_name=='VIP'&ei=='2i1' location=='L2'&pop_name=='Sst'&ei=='2i1' 15.0 gaussianLL_Inter_Layer "[0.0, 1e+20]" 1.5 exp2syn 0.0018479999999999998 ['basal'] InhToInh.json
108 location=='L2'&pop_name=='PV1'&ei=='2i1' location=='L2'&pop_name=='Sst'&ei=='2i1' 15.0 gaussianLL_Inter_Layer "[0.0, 1e+20]" 1.5 exp2syn 0.000792 ['basal'] InhToInh.json
109 location=='L2'&pop_name=='Scnn1a'&ei=='2e1' location=='L2'&pop_name=='Sst'&ei=='2i1' 15.0 gaussianLL_Inter_Layer "[0.0, 1e+20]" 1.5 exp2syn 0.0024 "['basal', 'apical']" InhToExc.json
110 location=='L2'&pop_name=='Scnn1a'&ei=='2e1' location=='L2'&pop_name=='VIP'&ei=='2i1' 15.0 gaussianLL_Inter_Layer "[0.0, 1e+20]" 1.5 exp2syn 4.7999999999999994e-05 "['basal', 'apical']" InhToExc.json
111 location=='L2'&pop_name=='Sst'&ei=='2i1' location=='L2'&pop_name=='VIP'&ei=='2i1' 15.0 gaussianLL_Inter_Layer "[0.0, 1e+20]" 1.5 exp2syn 0.047999999999999994 ['basal'] InhToInh.json
112 location=='L4'&ei=='2e1' location=='L4'&ei=='2e1' 5.0 gaussianLL_Inter_Layer "[0.0, 1e+20]" 1.3 exp2syn 0.00035 "['basal', 'apical']" ExcToExc.json
113 location=='L4'&ei=='2i1'&pop_name=='PV1' location=='L4'&ei=='2e1' 15.0 gaussianLL_Inter_Layer "[0.0, 1e+20]" 0.9 exp2syn 0.003 "['somatic', 'basal']" ExcToInh.json
114 location=='L4'&ei=='2i1'&pop_name=='Sst' location=='L4'&ei=='2e1' 10.0 gaussianLL_Inter_Layer "[0.0, 1e+20]" 1.2 exp2syn 0.001875 "['somatic', 'basal']" ExcToInh.json
115 location=='L4'&ei=='2i1'&pop_name=='VIP' location=='L4'&ei=='2e1' 5.0 gaussianLL_Inter_Layer "[0.0, 1e+20]" 1.2 exp2syn 0.0015 "['somatic', 'basal']" ExcToInh.json
116 location=='L4'&pop_name=='PV1'&ei=='2i1' location=='L4'&pop_name=='PV1'&ei=='2i1' 15.0 gaussianLL_Inter_Layer "[0.0, 1e+20]" 1.3 exp2syn 0.002424 "['somatic', 'basal']" InhToInh.json
117 location=='L4'&pop_name=='Scnn1a'&ei=='2e1' location=='L4'&pop_name=='PV1'&ei=='2i1' 15.0 gaussianLL_Inter_Layer "[0.0, 1e+20]" 0.6 exp2syn 0.0024 "['somatic', 'basal', 'apical']" InhToExc.json
118 location=='L4'&pop_name=='VIP'&ei=='2i1' location=='L4'&pop_name=='PV1'&ei=='2i1' 15.0 gaussianLL_Inter_Layer "[0.0, 1e+20]" 0.9 exp2syn 0.0005279999999999999 "['somatic', 'basal']" InhToInh.json
119 location=='L4'&pop_name=='VIP'&ei=='2i1' location=='L4'&pop_name=='Sst'&ei=='2i1' 15.0 gaussianLL_Inter_Layer "[0.0, 1e+20]" 1.2 exp2syn 0.0018479999999999998 ['basal'] InhToInh.json
120 location=='L4'&pop_name=='PV1'&ei=='2i1' location=='L4'&pop_name=='Sst'&ei=='2i1' 15.0 gaussianLL_Inter_Layer "[0.0, 1e+20]" 1.2 exp2syn 0.000792 ['basal'] InhToInh.json
121 location=='L4'&pop_name=='Scnn1a'&ei=='2e1' location=='L4'&pop_name=='Sst'&ei=='2i1' 15.0 gaussianLL_Inter_Layer "[0.0, 1e+20]" 1.2 exp2syn 0.0024 "['basal', 'apical']" InhToExc.json
122 location=='L4'&pop_name=='Scnn1a'&ei=='2e1' location=='L4'&pop_name=='VIP'&ei=='2i1' 15.0 gaussianLL_Inter_Layer "[0.0, 1e+20]" 1.2 exp2syn 4.7999999999999994e-05 "['basal', 'apical']" InhToExc.json
123 location=='L4'&pop_name=='Sst'&ei=='2i1' location=='L4'&pop_name=='VIP'&ei=='2i1' 15.0 gaussianLL_Inter_Layer "[0.0, 1e+20]" 1.2 exp2syn 0.047999999999999994 ['basal'] InhToInh.json
124 location=='L5'&ei=='2e1' location=='L5'&ei=='2e1' 5.0 gaussianLL_Inter_Layer "[0.0, 1e+20]" 1.5 exp2syn 0.00035 "['basal', 'apical']" ExcToExc.json
125 location=='L5'&ei=='2i1'&pop_name=='PV1' location=='L5'&ei=='2e1' 15.0 gaussianLL_Inter_Layer "[0.0, 1e+20]" 1.1 exp2syn 0.003 "['somatic', 'basal']" ExcToInh.json
126 location=='L5'&ei=='2i1'&pop_name=='Sst' location=='L5'&ei=='2e1' 10.0 gaussianLL_Inter_Layer "[0.0, 1e+20]" 1.4 exp2syn 0.001875 "['somatic', 'basal']" ExcToInh.json
127 location=='L5'&ei=='2i1'&pop_name=='VIP' location=='L5'&ei=='2e1' 5.0 gaussianLL_Inter_Layer "[0.0, 1e+20]" 1.4 exp2syn 0.0015 "['somatic', 'basal']" ExcToInh.json
128 location=='L5'&pop_name=='PV1'&ei=='2i1' location=='L5'&pop_name=='PV1'&ei=='2i1' 15.0 gaussianLL_Inter_Layer "[0.0, 1e+20]" 1.5 exp2syn 0.002424 "['somatic', 'basal']" InhToInh.json
129 location=='L5'&pop_name=='Scnn1a'&ei=='2e1' location=='L5'&pop_name=='PV1'&ei=='2i1' 15.0 gaussianLL_Inter_Layer "[0.0, 1e+20]" 0.8 exp2syn 0.0024 "['somatic', 'basal', 'apical']" InhToExc.json
130 location=='L5'&pop_name=='VIP'&ei=='2i1' location=='L5'&pop_name=='PV1'&ei=='2i1' 15.0 gaussianLL_Inter_Layer "[0.0, 1e+20]" 1.1 exp2syn 0.0005279999999999999 "['somatic', 'basal']" InhToInh.json
131 location=='L5'&pop_name=='VIP'&ei=='2i1' location=='L5'&pop_name=='Sst'&ei=='2i1' 15.0 gaussianLL_Inter_Layer "[0.0, 1e+20]" 1.4 exp2syn 0.0018479999999999998 ['basal'] InhToInh.json
132 location=='L5'&pop_name=='PV1'&ei=='2i1' location=='L5'&pop_name=='Sst'&ei=='2i1' 15.0 gaussianLL_Inter_Layer "[0.0, 1e+20]" 1.4 exp2syn 0.000792 ['basal'] InhToInh.json
133 location=='L5'&pop_name=='Scnn1a'&ei=='2e1' location=='L5'&pop_name=='Sst'&ei=='2i1' 15.0 gaussianLL_Inter_Layer "[0.0, 1e+20]" 1.4 exp2syn 0.0024 "['basal', 'apical']" InhToExc.json
134 location=='L5'&pop_name=='Scnn1a'&ei=='2e1' location=='L5'&pop_name=='VIP'&ei=='2i1' 15.0 gaussianLL_Inter_Layer "[0.0, 1e+20]" 1.4 exp2syn 4.7999999999999994e-05 "['basal', 'apical']" InhToExc.json
135 location=='L5'&pop_name=='Sst'&ei=='2i1' location=='L5'&pop_name=='VIP'&ei=='2i1' 15.0 gaussianLL_Inter_Layer "[0.0, 1e+20]" 1.4 exp2syn 0.047999999999999994 ['basal'] InhToInh.json
136 location=='L6'&ei=='2e1' location=='L6'&ei=='2e1' 5.0 gaussianLL_Inter_Layer "[0.0, 1e+20]" 1.8 exp2syn 0.00035 "['basal', 'apical']" ExcToExc.json
137 location=='L6'&ei=='2i1'&pop_name=='PV1' location=='L6'&ei=='2e1' 15.0 gaussianLL_Inter_Layer "[0.0, 1e+20]" 1.4 exp2syn 0.003 "['somatic', 'basal']" ExcToInh.json
138 location=='L6'&ei=='2i1'&pop_name=='Sst' location=='L6'&ei=='2e1' 10.0 gaussianLL_Inter_Layer "[0.0, 1e+20]" 1.7 exp2syn 0.001875 "['somatic', 'basal']" ExcToInh.json
139 location=='L6'&ei=='2i1'&pop_name=='VIP' location=='L6'&ei=='2e1' 5.0 gaussianLL_Inter_Layer "[0.0, 1e+20]" 1.7 exp2syn 0.0015 "['somatic', 'basal']" ExcToInh.json
140 location=='L6'&pop_name=='PV1'&ei=='2i1' location=='L6'&pop_name=='PV1'&ei=='2i1' 15.0 gaussianLL_Inter_Layer "[0.0, 1e+20]" 1.8 exp2syn 0.002424 "['somatic', 'basal']" InhToInh.json
141 location=='L6'&pop_name=='Scnn1a'&ei=='2e1' location=='L6'&pop_name=='PV1'&ei=='2i1' 15.0 gaussianLL_Inter_Layer "[0.0, 1e+20]" 1.1 exp2syn 0.0024 "['somatic', 'basal', 'apical']" InhToExc.json
142 location=='L6'&pop_name=='VIP'&ei=='2i1' location=='L6'&pop_name=='PV1'&ei=='2i1' 15.0 gaussianLL_Inter_Layer "[0.0, 1e+20]" 1.4 exp2syn 0.0005279999999999999 "['somatic', 'basal']" InhToInh.json
143 location=='L6'&pop_name=='VIP'&ei=='2i1' location=='L6'&pop_name=='Sst'&ei=='2i1' 15.0 gaussianLL_Inter_Layer "[0.0, 1e+20]" 1.7 exp2syn 0.0018479999999999998 ['basal'] InhToInh.json
144 location=='L6'&pop_name=='PV1'&ei=='2i1' location=='L6'&pop_name=='Sst'&ei=='2i1' 15.0 gaussianLL_Inter_Layer "[0.0, 1e+20]" 1.7 exp2syn 0.000792 ['basal'] InhToInh.json
145 location=='L6'&pop_name=='Scnn1a'&ei=='2e1' location=='L6'&pop_name=='Sst'&ei=='2i1' 15.0 gaussianLL_Inter_Layer "[0.0, 1e+20]" 1.7 exp2syn 0.0024 "['basal', 'apical']" InhToExc.json
146 location=='L6'&pop_name=='Scnn1a'&ei=='2e1' location=='L6'&pop_name=='VIP'&ei=='2i1' 15.0 gaussianLL_Inter_Layer "[0.0, 1e+20]" 1.7 exp2syn 4.7999999999999994e-05 "['basal', 'apical']" InhToExc.json
147 location=='L6'&pop_name=='Sst'&ei=='2i1' location=='L6'&pop_name=='VIP'&ei=='2i1' 15.0 gaussianLL_Inter_Layer "[0.0, 1e+20]" 1.7 exp2syn 0.047999999999999994 ['basal'] InhToInh.json
148 location=='L4'&ei=='2e1' location=='L2'&ei=='2e1' 5.0 gaussianLL_Laminar "[0.0, 1e+20]" 1.6 exp2syn 0.00035 "['basal', 'apical']" ExcToExc.json
149 location=='L5'&ei=='2e1' location=='L2'&ei=='2e1' 5.0 gaussianLL_Laminar "[0.0, 1e+20]" 1.8 exp2syn 0.0007 "['basal', 'apical']" ExcToExc.json
150 location=='L6'&ei=='2e1' location=='L2'&ei=='2e1' 5.0 gaussianLL_Laminar "[0.0, 1e+20]" 4.9 exp2syn 0.00035 "['basal', 'apical']" ExcToExc.json
151 location=='L4'&ei=='2i1'&pop_name=='PV1' location=='L2'&ei=='2e1' 15.0 gaussianLL_Laminar "[0.0, 1e+20]" 1.2 exp2syn 0.006 "['somatic', 'basal']" ExcToInh.json
152 location=='L4'&ei=='2i1'&pop_name=='Sst' location=='L2'&ei=='2e1' 10.0 gaussianLL_Laminar "[0.0, 1e+20]" 1.5 exp2syn 0.00375 "['somatic', 'basal']" ExcToInh.json
153 location=='L4'&ei=='2i1'&pop_name=='VIP' location=='L2'&ei=='2e1' 5.0 gaussianLL_Laminar "[0.0, 1e+20]" 1.5 exp2syn 0.003 "['somatic', 'basal']" ExcToInh.json
154 location=='L5'&ei=='2i1'&pop_name=='PV1' location=='L2'&ei=='2e1' 15.0 gaussianLL_Laminar "[0.0, 1e+20]" 1.4 exp2syn 0.003 "['somatic', 'basal']" ExcToInh.json
155 location=='L5'&ei=='2i1'&pop_name=='Sst' location=='L2'&ei=='2e1' 10.0 gaussianLL_Laminar "[0.0, 1e+20]" 1.7 exp2syn 0.001875 "['somatic', 'basal']" ExcToInh.json
156 location=='L5'&ei=='2i1'&pop_name=='VIP' location=='L2'&ei=='2e1' 5.0 gaussianLL_Laminar "[0.0, 1e+20]" 1.7 exp2syn 0.0015 "['somatic', 'basal']" ExcToInh.json
157 location=='L6'&ei=='2i1'&pop_name=='PV1' location=='L2'&ei=='2e1' 15.0 gaussianLL_Laminar "[0.0, 1e+20]" 4.5 exp2syn 0.003 "['somatic', 'basal']" ExcToInh.json
158 location=='L6'&ei=='2i1'&pop_name=='Sst' location=='L2'&ei=='2e1' 10.0 gaussianLL_Laminar "[0.0, 1e+20]" 4.8 exp2syn 0.001875 "['somatic', 'basal']" ExcToInh.json
159 location=='L6'&ei=='2i1'&pop_name=='VIP' location=='L2'&ei=='2e1' 5.0 gaussianLL_Laminar "[0.0, 1e+20]" 4.8 exp2syn 0.0015 "['somatic', 'basal']" ExcToInh.json
160 location=='L4'&ei=='2i1'&pop_name=='PV1' location=='L2'&ei=='2i1'&pop_name=='Sst' 15.0 gaussianLL_Laminar "[0.0, 1e+20]" 1.5 exp2syn 0.000792 ['basal'] InhToInh.json
161 location=='L5'&ei=='2i1'&pop_name=='PV1' location=='L2'&ei=='2i1'&pop_name=='Sst' 15.0 gaussianLL_Laminar "[0.0, 1e+20]" 1.7 exp2syn 0.000792 ['basal'] InhToInh.json
162 location=='L6'&ei=='2i1'&pop_name=='PV1' location=='L2'&ei=='2i1'&pop_name=='Sst' 15.0 gaussianLL_Laminar "[0.0, 1e+20]" 4.8 exp2syn 0.000792 ['basal'] InhToInh.json
163 location=='L4'&ei=='2i1'&pop_name=='VIP' location=='L2'&ei=='2i1'&pop_name=='Sst' 15.0 gaussianLL_Laminar "[0.0, 1e+20]" 1.5 exp2syn 0.0018479999999999998 ['basal'] InhToInh.json
164 location=='L5'&ei=='2i1'&pop_name=='VIP' location=='L2'&ei=='2i1'&pop_name=='Sst' 15.0 gaussianLL_Laminar "[0.0, 1e+20]" 1.7 exp2syn 0.0018479999999999998 ['basal'] InhToInh.json
165 location=='L6'&ei=='2i1'&pop_name=='VIP' location=='L2'&ei=='2i1'&pop_name=='Sst' 15.0 gaussianLL_Laminar "[0.0, 1e+20]" 4.8 exp2syn 0.0018479999999999998 ['basal'] InhToInh.json
166 location=='L4'&ei=='2i1'&pop_name=='VIP' location=='L2'&ei=='2i1'&pop_name=='PV1' 15.0 gaussianLL_Laminar "[0.0, 1e+20]" 1.2 exp2syn 0.0005279999999999999 "['somatic', 'basal']" InhToInh.json
167 location=='L5'&ei=='2i1'&pop_name=='VIP' location=='L2'&ei=='2i1'&pop_name=='PV1' 15.0 gaussianLL_Laminar "[0.0, 1e+20]" 1.4 exp2syn 0.0005279999999999999 "['somatic', 'basal']" InhToInh.json
168 location=='L6'&ei=='2i1'&pop_name=='VIP' location=='L2'&ei=='2i1'&pop_name=='PV1' 15.0 gaussianLL_Laminar "[0.0, 1e+20]" 4.5 exp2syn 0.0005279999999999999 "['somatic', 'basal']" InhToInh.json
169 location=='L4'&ei=='2i1'&pop_name=='PV1' location=='L2'&ei=='2i1'&pop_name=='PV1' 15.0 gaussianLL_Laminar "[0.0, 1e+20]" 1.6 exp2syn 0.002424 "['somatic', 'basal']" InhToInh.json
170 location=='L5'&ei=='2i1'&pop_name=='PV1' location=='L2'&ei=='2i1'&pop_name=='PV1' 15.0 gaussianLL_Laminar "[0.0, 1e+20]" 1.8 exp2syn 0.002424 "['somatic', 'basal']" InhToInh.json
171 location=='L6'&ei=='2i1'&pop_name=='PV1' location=='L2'&ei=='2i1'&pop_name=='PV1' 15.0 gaussianLL_Laminar "[0.0, 1e+20]" 4.9 exp2syn 0.002424 "['somatic', 'basal']" InhToInh.json
172 location=='L4'&ei=='2i1'&pop_name=='Sst' location=='L2'&ei=='2i1'&pop_name=='VIP' 15.0 gaussianLL_Laminar "[0.0, 1e+20]" 1.5 exp2syn 0.047999999999999994 ['basal'] InhToInh.json
173 location=='L5'&ei=='2i1'&pop_name=='Sst' location=='L2'&ei=='2i1'&pop_name=='VIP' 15.0 gaussianLL_Laminar "[0.0, 1e+20]" 1.7 exp2syn 0.047999999999999994 ['basal'] InhToInh.json
174 location=='L6'&ei=='2i1'&pop_name=='Sst' location=='L2'&ei=='2i1'&pop_name=='VIP' 15.0 gaussianLL_Laminar "[0.0, 1e+20]" 4.8 exp2syn 0.047999999999999994 ['basal'] InhToInh.json
175 location=='L4'&ei=='2e1' location=='L2'&ei=='2i1'&pop_name=='Sst' 15.0 gaussianLL_Laminar "[0.0, 1e+20]" 1.5 exp2syn 0.0024 "['basal', 'apical']" InhToExc.json
176 location=='L4'&ei=='2e1' location=='L2'&ei=='2i1'&pop_name=='VIP' 15.0 gaussianLL_Laminar "[0.0, 1e+20]" 1.5 exp2syn 4.7999999999999994e-05 "['basal', 'apical']" InhToExc.json
177 location=='L4'&ei=='2e1' location=='L2'&ei=='2i1'&pop_name=='PV1' 15.0 gaussianLL_Laminar "[0.0, 1e+20]" 0.9 exp2syn 0.0024 "['somatic', 'basal', 'apical']" InhToExc.json
178 location=='L5'&ei=='2e1' location=='L2'&ei=='2i1'&pop_name=='PV1' 15.0 gaussianLL_Laminar "[0.0, 1e+20]" 1.1 exp2syn 0.0048 "['somatic', 'basal', 'apical']" InhToExc.json
179 location=='L5'&ei=='2e1' location=='L2'&ei=='2i1'&pop_name=='Sst' 15.0 gaussianLL_Laminar "[0.0, 1e+20]" 1.7 exp2syn 0.0048 "['basal', 'apical']" InhToExc.json
180 location=='L5'&ei=='2e1' location=='L2'&ei=='2i1'&pop_name=='VIP' 15.0 gaussianLL_Laminar "[0.0, 1e+20]" 1.7 exp2syn 9.599999999999999e-05 "['basal', 'apical']" InhToExc.json
181 location=='L6'&ei=='2e1' location=='L2'&ei=='2i1'&pop_name=='PV1' 15.0 gaussianLL_Laminar "[0.0, 1e+20]" 4.2 exp2syn 0.0024 "['somatic', 'basal', 'apical']" InhToExc.json
182 location=='L6'&ei=='2e1' location=='L2'&ei=='2i1'&pop_name=='Sst' 15.0 gaussianLL_Laminar "[0.0, 1e+20]" 4.8 exp2syn 0.0024 "['basal', 'apical']" InhToExc.json
183 location=='L6'&ei=='2e1' location=='L2'&ei=='2i1'&pop_name=='VIP' 15.0 gaussianLL_Laminar "[0.0, 1e+20]" 4.8 exp2syn 4.7999999999999994e-05 "['basal', 'apical']" InhToExc.json
184 location=='L2'&ei=='2e1' location=='L4'&ei=='2e1' 5.0 gaussianLL_Laminar "[0.0, 1e+20]" 2.3 exp2syn 0.0021 "['basal', 'apical']" ExcToExc.json
185 location=='L5'&ei=='2e1' location=='L4'&ei=='2e1' 5.0 gaussianLL_Laminar "[0.0, 1e+20]" 1.5 exp2syn 0.00175 "['basal', 'apical']" ExcToExc.json
