node_type_id pop_name location morphology model_template Sig Int model_type model_processing rotation_angle_yaxis dynamics_params rotation_angle_zaxis rotation_angle_xaxis ei
100 Scnn1a L6 Scnn1a_473845048_m.swc ctdb:Biophys1.hoc 1.45 P2 biophysical aibs_perisomatic -3.14 472363762_fit.json -3.74 3.74 2e1
101 PV1 L6 Pvalb_470522102_m.swc ctdb:Biophys1.hoc 4.5 P2 biophysical aibs_perisomatic -3.14 472912177_fit.json -3.74 3.74 2i1
102 Sst L6 Sst_513556739_m.swc ctdb:Biophys1.hoc 4 P2 biophysical aibs_perisomatic -3.14 323452196_fit.json -3.74 3.74 2i1
103 VIP L6 Htr3a_492100857_m.swc ctdb:Biophys1.hoc 2 P2 biophysical aibs_perisomatic -3.14 475585413_fit.json -3.74 3.74 2i1
104 Scnn1a L5 Scnn1a_473845048_m.swc ctdb:Biophys1.hoc 1.45 P2 biophysical aibs_perisomatic -3.14 472363762_fit.json -3.74 3.74 2e1
105 PV1 L5 Pvalb_470522102_m.swc ctdb:Biophys1.hoc 4.5 P2 biophysical aibs_perisomatic -3.14 472912177_fit.json -3.74 3.74 2i1
106 Sst L5 Sst_513556739_m.swc ctdb:Biophys1.hoc 4 P2 biophysical aibs_perisomatic -3.14 323452196_fit.json -3.74 3.74 2i1
107 VIP L5 Htr3a_492100857_m.swc ctdb:Biophys1.hoc 2 P2 biophysical aibs_perisomatic -3.14 475585413_fit.json -3.74 3.74 2i1
108 Scnn1a L4 Scnn1a_473845048_m.swc ctdb:Biophys1.hoc 1.45 P2 biophysical aibs_perisomatic -3.14 472363762_fit.json -3.74 3.74 2e1
109 PV1 L4 Pvalb_470522102_m.swc ctdb:Biophys1.hoc 4.5 P2 biophysical aibs_perisomatic -3.14 472912177_fit.json -3.74 3.74 2i1
110 Sst L4 Sst_513556739_m.swc ctdb:Biophys1.hoc 4 P2 biophysical aibs_perisomatic -3.14 323452196_fit.json -3.74 3.74 2i1
111 VIP L4 Htr3a_492100857_m.swc ctdb:Biophys1.hoc 2 P2 biophysical aibs_perisomatic -3.14 475585413_fit.json -3.74 3.74 2i1
112 Scnn1a L2 Scnn1a_473845048_m.swc ctdb:Biophys1.hoc 1.45 P2 biophysical aibs_perisomatic -3.14 472363762_fit.json -3.74 3.74 2e1
113 PV1 L2 Pvalb_470522102_m.swc ctdb:Biophys1.hoc 4.5 P2 biophysical aibs_perisomatic -3.14 472912177_fit.json -3.74 3.74 2i1
114 Sst L2 Sst_513556739_m.swc ctdb:Biophys1.hoc 4 P2 biophysical aibs_perisomatic -3.14 323452196_fit.json -3.74 3.74 2i1
115 VIP L2 Htr3a_492100857_m.swc ctdb:Biophys1.hoc 2 P2 biophysical aibs_perisomatic -3.14 475585413_fit.json -3.74 3.74 2i1
