timestamps population node_ids
54.00000000009907 V1 196
9783.499999997975 V1 150
9796.299999997791 V1 150
9781.499999998006 V1 151
9792.799999997842 V1 151
9710.599999999038 V1 152
9781.899999998 V1 152
9794.799999997813 V1 152
9783.499999997975 V1 153
9796.399999997791 V1 153
9779.399999998035 V1 154
9794.599999997816 V1 154
9786.699999997929 V1 155
9808.099999997621 V1 155
9780.49999999802 V1 156
9792.099999997852 V1 156
9811.199999997574 V1 156
9777.699999998062 V1 157
9794.199999997822 V1 149
9782.59999999799 V1 149
9729.499999998763 V1 149
9787.299999997922 V1 148
9799.89999999774 V1 136
9789.599999997889 V1 137
9627.600000000246 V1 138
9792.19999999785 V1 139
9717.999999998929 V1 140
9789.399999997891 V1 140
9788.999999997895 V1 142
9790.399999997877 V1 143
9791.999999997854 V1 157
9606.200000000556 V1 144
9774.099999998114 V1 144
9788.399999997906 V1 144
9811.299999997573 V1 144
9787.899999997913 V1 145
9788.099999997909 V1 146
9617.800000000389 V1 147
9785.299999997951 V1 147
9795.799999997798 V1 147
9701.599999999167 V1 144
9789.599999997889 V1 132
9782.399999997991 V1 158
9778.299999998051 V1 159
9811.899999997564 V1 166
9844.599999997088 V1 166
9860.899999996851 V1 166
9885.499999996491 V1 166
9780.399999998022 V1 167
9794.499999997815 V1 167
9813.099999997548 V1 167
9857.499999996899 V1 167
9881.499999996551 V1 167
9775.69999999809 V1 168
9788.999999997895 V1 168
9797.899999997768 V1 168
9816.099999997503 V1 168
9833.599999997248 V1 168
9852.799999996967 V1 168
9872.199999996688 V1 168
9892.59999999639 V1 168
9796.899999997782 V1 166
9788.199999997907 V1 166
9771.899999998146 V1 166
9861.699999996841 V1 165
9791.499999997859 V1 159
9810.199999997589 V1 159
9875.799999996634 V1 159
9780.299999998024 V1 160
9793.79999999783 V1 160
9781.099999998012 V1 161
9793.999999997823 V1 161
9794.39999999782 V1 162
9794.699999997814 V1 158
9775.599999998092 V1 163
9869.599999996724 V1 163
9779.499999998035 V1 164
9792.99999999784 V1 164
9818.29999999747 V1 164
9860.799999996852 V1 164
9894.099999996368 V1 164
9780.59999999802 V1 165
9797.199999997778 V1 165
9792.799999997842 V1 163
9793.999999997823 V1 126
9791.299999997864 V1 125
9795.499999997804 V1 124
9777.999999998056 V1 114
9784.899999997957 V1 114
9830.799999997287 V1 114
9915.99999999605 V1 114
9595.500000000711 V1 115
9608.300000000529 V1 115
9783.29999999798 V1 116
9791.499999997859 V1 116
9879.799999996576 V1 116
9899.099999996297 V1 116
9786.599999997932 V1 117
9782.099999997998 V1 118
9787.499999997919 V1 118
9875.499999996639 V1 118
9596.600000000695 V1 119
9611.200000000483 V1 119
9778.599999998049 V1 119
9609.300000000512 V1 114
9595.400000000714 V1 114
9897.699999996315 V1 113
9854.899999996938 V1 113
9798.599999997758 V1 111
9831.199999997283 V1 111
9850.999999996995 V1 111
9881.59999999655 V1 111
9911.699999996112 V1 111
9593.100000000748 V1 112
9604.200000000586 V1 112
9777.399999998066 V1 112
9783.39999999798 V1 119
9785.899999997942 V1 112
9830.799999997287 V1 112
9884.499999996508 V1 112
9593.700000000741 V1 113
9600.300000000645 V1 113
9777.299999998068 V1 113
9786.499999997935 V1 113
9813.899999997535 V1 113
9831.699999997276 V1 113
9813.999999997532 V1 112
