timestamps population node_ids
13509.418107484411 lgn146T1 0
13511.359129880053 lgn146T1 0
13524.622462022726 lgn146T1 0
13596.653106583784 lgn146T1 0
13671.482772430454 lgn146T1 0
13686.283871947164 lgn146T1 0
13712.066256787915 lgn146T1 0
13747.324978956623 lgn146T1 0
13758.778905168341 lgn146T1 0
13828.563514358288 lgn146T1 0
13838.348996349154 lgn146T1 0
13845.782253873173 lgn146T1 0
13870.795462601134 lgn146T1 0
13898.976156586199 lgn146T1 0
13946.34106743586 lgn146T1 0
13955.759577110246 lgn146T1 0
13956.418201020808 lgn146T1 0
13968.935563463108 lgn146T1 0
13500.982037212108 lgn146T1 1
13528.59549962614 lgn146T1 1
13573.762998718226 lgn146T1 1
13609.681388725226 lgn146T1 1
13619.305398412554 lgn146T1 1
13619.731646465405 lgn146T1 1
13622.086606081893 lgn146T1 1
13631.56420804109 lgn146T1 1
13709.048234053516 lgn146T1 1
13710.413777571062 lgn146T1 1
13759.770200897132 lgn146T1 1
13794.823357366058 lgn146T1 1
13814.624157362006 lgn146T1 1
13851.555637049341 lgn146T1 1
13896.234670247086 lgn146T1 1
13908.816316147078 lgn146T1 1
13955.295377456936 lgn146T1 1
13955.668425961387 lgn146T1 1
13970.032312909681 lgn146T1 1
13509.614559510112 lgn146T1 2
13510.106487823248 lgn146T1 2
13523.105179925251 lgn146T1 2
13543.569202958291 lgn146T1 2
13557.951901896955 lgn146T1 2
13574.699703298864 lgn146T1 2
13574.932644245127 lgn146T1 2
13592.599462700471 lgn146T1 2
13593.00022130174 lgn146T1 2
13625.758890797686 lgn146T1 2
13635.285163995532 lgn146T1 2
13641.998478398742 lgn146T1 2
13661.791515952129 lgn146T1 2
13699.060599601476 lgn146T1 2
13718.155586215637 lgn146T1 2
13902.036479095495 lgn146T1 2
13910.48478181643 lgn146T1 2
13927.751029163685 lgn146T1 2
13939.01776925734 lgn146T1 2
13960.156457144503 lgn146T1 2
13517.820283673494 lgn146T1 3
13559.144192756688 lgn146T1 3
13571.566090365612 lgn146T1 3
13631.170894022813 lgn146T1 3
13637.102550404954 lgn146T1 3
13699.873966387282 lgn146T1 3
13712.250207150824 lgn146T1 3
13722.244070862625 lgn146T1 3
13728.889685250017 lgn146T1 3
13774.286900701976 lgn146T1 3
13843.683815910983 lgn146T1 3
13858.165899305615 lgn146T1 3
13998.606615421648 lgn146T1 3
13503.683642085916 lgn146T1 4
13505.866307727558 lgn146T1 4
13566.196920950344 lgn146T1 4
13575.664116130121 lgn146T1 4
13589.785895597246 lgn146T1 4
13645.459614061718 lgn146T1 4
13675.955183496244 lgn146T1 4
13712.994329793039 lgn146T1 4
13740.488897347579 lgn146T1 4
13780.026165644591 lgn146T1 4
13783.907468160869 lgn146T1 4
13786.501201839883 lgn146T1 4
13799.0360343368 lgn146T1 4
13828.981555658778 lgn146T1 4
13842.011549706887 lgn146T1 4
13882.969790910445 lgn146T1 4
