edge_type_id target_query source_query dynamics_params delay model_template weight_sigma weight_function syn_weight distance_range target_sections
100 location=='L2'&ei=='2e1' location=='L2'&ei=='2e1' ExcToExc.json 1.6 exp2syn 5.0 gaussianLL_Inter_Layer 0.00035 "[0.0, 1e+20]" "['basal', 'apical']"
101 location=='L2'&ei=='2i1'&pop_name=='PV1' location=='L2'&ei=='2e1' ExcToInh.json 1.2 exp2syn 15.0 gaussianLL_Inter_Layer 0.003 "[0.0, 1e+20]" "['somatic', 'basal']"
102 location=='L2'&ei=='2i1'&pop_name=='Sst' location=='L2'&ei=='2e1' ExcToInh.json 1.5 exp2syn 10.0 gaussianLL_Inter_Layer 0.001875 "[0.0, 1e+20]" "['somatic', 'basal']"
103 location=='L2'&ei=='2i1'&pop_name=='VIP' location=='L2'&ei=='2e1' ExcToInh.json 1.5 exp2syn 5.0 gaussianLL_Inter_Layer 0.0015 "[0.0, 1e+20]" "['somatic', 'basal']"
104 location=='L2'&pop_name=='PV1'&ei=='2i1' location=='L2'&pop_name=='PV1'&ei=='2i1' InhToInh.json 1.6 exp2syn 15.0 gaussianLL_Inter_Layer 0.002424 "[0.0, 1e+20]" "['somatic', 'basal']"
105 location=='L2'&pop_name=='Scnn1a'&ei=='2e1' location=='L2'&pop_name=='PV1'&ei=='2i1' InhToExc.json 0.9 exp2syn 15.0 gaussianLL_Inter_Layer 0.0024 "[0.0, 1e+20]" "['somatic', 'basal', 'apical']"
106 location=='L2'&pop_name=='VIP'&ei=='2i1' location=='L2'&pop_name=='PV1'&ei=='2i1' InhToInh.json 1.2 exp2syn 15.0 gaussianLL_Inter_Layer 0.0005279999999999999 "[0.0, 1e+20]" "['somatic', 'basal']"
107 location=='L2'&pop_name=='VIP'&ei=='2i1' location=='L2'&pop_name=='Sst'&ei=='2i1' InhToInh.json 1.5 exp2syn 15.0 gaussianLL_Inter_Layer 0.0018479999999999998 "[0.0, 1e+20]" ['basal']
108 location=='L2'&pop_name=='PV1'&ei=='2i1' location=='L2'&pop_name=='Sst'&ei=='2i1' InhToInh.json 1.5 exp2syn 15.0 gaussianLL_Inter_Layer 0.000792 "[0.0, 1e+20]" ['basal']
109 location=='L2'&pop_name=='Scnn1a'&ei=='2e1' location=='L2'&pop_name=='Sst'&ei=='2i1' InhToExc.json 1.5 exp2syn 15.0 gaussianLL_Inter_Layer 0.0024 "[0.0, 1e+20]" "['basal', 'apical']"
110 location=='L2'&pop_name=='Scnn1a'&ei=='2e1' location=='L2'&pop_name=='VIP'&ei=='2i1' InhToExc.json 1.5 exp2syn 15.0 gaussianLL_Inter_Layer 4.7999999999999994e-05 "[0.0, 1e+20]" "['basal', 'apical']"
111 location=='L2'&pop_name=='Sst'&ei=='2i1' location=='L2'&pop_name=='VIP'&ei=='2i1' InhToInh.json 1.5 exp2syn 15.0 gaussianLL_Inter_Layer 0.047999999999999994 "[0.0, 1e+20]" ['basal']
112 location=='L4'&ei=='2e1' location=='L4'&ei=='2e1' ExcToExc.json 1.3 exp2syn 5.0 gaussianLL_Inter_Layer 0.00035 "[0.0, 1e+20]" "['basal', 'apical']"
113 location=='L4'&ei=='2i1'&pop_name=='PV1' location=='L4'&ei=='2e1' ExcToInh.json 0.9 exp2syn 15.0 gaussianLL_Inter_Layer 0.003 "[0.0, 1e+20]" "['somatic', 'basal']"
114 location=='L4'&ei=='2i1'&pop_name=='Sst' location=='L4'&ei=='2e1' ExcToInh.json 1.2 exp2syn 10.0 gaussianLL_Inter_Layer 0.001875 "[0.0, 1e+20]" "['somatic', 'basal']"
