node_type_id rotation_angle_yaxis model_type pop_name ei morphology dynamics_params Int rotation_angle_xaxis model_processing model_template Sig rotation_angle_zaxis location
100 -3.14 biophysical Scnn1a 2e1 Scnn1a_473845048_m.swc 472363762_fit.json P2 3.74 aibs_perisomatic ctdb:Biophys1.hoc 1.45 -3.74 L6
101 -3.14 biophysical PV1 2i1 Pvalb_470522102_m.swc 472912177_fit.json P2 3.74 aibs_perisomatic ctdb:Biophys1.hoc 4.5 -3.74 L6
102 -3.14 biophysical Sst 2i1 Sst_513556739_m.swc 323452196_fit.json P2 3.74 aibs_perisomatic ctdb:Biophys1.hoc 4 -3.74 L6
103 -3.14 biophysical VIP 2i1 Htr3a_492100857_m.swc 475585413_fit.json P2 3.74 aibs_perisomatic ctdb:Biophys1.hoc 2 -3.74 L6
104 -3.14 biophysical Scnn1a 2e1 Scnn1a_473845048_m.swc 472363762_fit.json P2 3.74 aibs_perisomatic ctdb:Biophys1.hoc 1.45 -3.74 L5
105 -3.14 biophysical PV1 2i1 Pvalb_470522102_m.swc 472912177_fit.json P2 3.74 aibs_perisomatic ctdb:Biophys1.hoc 4.5 -3.74 L5
106 -3.14 biophysical Sst 2i1 Sst_513556739_m.swc 323452196_fit.json P2 3.74 aibs_perisomatic ctdb:Biophys1.hoc 4 -3.74 L5
107 -3.14 biophysical VIP 2i1 Htr3a_492100857_m.swc 475585413_fit.json P2 3.74 aibs_perisomatic ctdb:Biophys1.hoc 2 -3.74 L5
108 -3.14 biophysical Scnn1a 2e1 Scnn1a_473845048_m.swc 472363762_fit.json P2 3.74 aibs_perisomatic ctdb:Biophys1.hoc 1.45 -3.74 L4
109 -3.14 biophysical PV1 2i1 Pvalb_470522102_m.swc 472912177_fit.json P2 3.74 aibs_perisomatic ctdb:Biophys1.hoc 4.5 -3.74 L4
110 -3.14 biophysical Sst 2i1 Sst_513556739_m.swc 323452196_fit.json P2 3.74 aibs_perisomatic ctdb:Biophys1.hoc 4 -3.74 L4
111 -3.14 biophysical VIP 2i1 Htr3a_492100857_m.swc 475585413_fit.json P2 3.74 aibs_perisomatic ctdb:Biophys1.hoc 2 -3.74 L4
112 -3.14 biophysical Scnn1a 2e1 Scnn1a_473845048_m.swc 472363762_fit.json P2 3.74 aibs_perisomatic ctdb:Biophys1.hoc 1.45 -3.74 L2
113 -3.14 biophysical PV1 2i1 Pvalb_470522102_m.swc 472912177_fit.json P2 3.74 aibs_perisomatic ctdb:Biophys1.hoc 4.5 -3.74 L2
114 -3.14 biophysical Sst 2i1 Sst_513556739_m.swc 323452196_fit.json P2 3.74 aibs_perisomatic ctdb:Biophys1.hoc 4 -3.74 L2
115 -3.14 biophysical VIP 2i1 Htr3a_492100857_m.swc 475585413_fit.json P2 3.74 aibs_perisomatic ctdb:Biophys1.hoc 2 -3.74 L2
