timestamps population node_ids
33.700000000100225 V1 11
8605.800000015115 V1 368
8613.800000014999 V1 368
8622.00000001488 V1 368
8635.900000014677 V1 368
8647.500000014508 V1 368
8655.300000014395 V1 368
8667.900000014211 V1 368
8681.200000014018 V1 368
8695.000000013817 V1 368
8704.000000013686 V1 368
8710.100000013597 V1 368
8722.000000013424 V1 368
8776.100000012637 V1 368
8786.000000012493 V1 368
8794.900000012363 V1 368
8802.800000012248 V1 368
8959.100000009974 V1 368
8574.60000001557 V1 369
8624.300000014846 V1 369
8636.200000014673 V1 369
8651.700000014447 V1 369
8535.40000001614 V1 368
8681.500000014013 V1 369
8989.000000009539 V1 367
8803.700000012235 V1 367
8794.600000012368 V1 366
8803.000000012245 V1 366
8814.900000012072 V1 366
8508.700000016528 V1 367
8532.400000016183 V1 367
8563.100000015736 V1 367
8603.900000015143 V1 367
8621.90000001488 V1 367
8627.900000014793 V1 367
8643.30000001457 V1 367
8650.700000014462 V1 367
8658.900000014342 V1 367
8688.900000013906 V1 367
8699.000000013759 V1 367
8703.300000013696 V1 367
8714.400000013535 V1 367
8722.700000013414 V1 367
8737.000000013206 V1 367
8775.90000001264 V1 367
8785.5000000125 V1 367
8795.10000001236 V1 367
8820.60000001199 V1 367
8694.900000013818 V1 369
8705.80000001366 V1 369
8717.100000013495 V1 369
8884.300000011062 V1 370
8941.50000001023 V1 370
8950.900000010093 V1 370
8985.300000009593 V1 370
8533.900000016161 V1 371
8604.200000015138 V1 371
8621.800000014882 V1 371
8629.000000014777 V1 371
8636.500000014668 V1 371
8643.90000001456 V1 371
8651.900000014444 V1 371
8660.100000014325 V1 371
8698.700000013763 V1 371
8707.20000001364 V1 371
8714.200000013538 V1 371
8721.900000013426 V1 371
8728.800000013325 V1 371
8743.400000013113 V1 371
8777.30000001262 V1 371
8786.300000012488 V1 371
8794.700000012366 V1 371
8811.100000012128 V1 370
8794.50000001237 V1 370
8782.400000012545 V1 370
8774.300000012663 V1 370
8725.00000001338 V1 369
8741.700000013137 V1 369
8774.200000012665 V1 369
8792.000000012406 V1 369
8815.500000012064 V1 369
8845.200000011631 V1 369
8912.60000001065 V1 369
8927.10000001044 V1 369
8937.500000010288 V1 369
8531.800000016192 V1 370
8784.400000012516 V1 366
8564.90000001571 V1 370
8624.00000001485 V1 370
8630.700000014753 V1 370
8637.400000014655 V1 370
8646.200000014527 V1 370
8653.100000014427 V1 370
8681.10000001402 V1 370
8704.600000013677 V1 370
8711.500000013577 V1 370
8717.300000013493 V1 370
8725.100000013379 V1 370
8604.900000015128 V1 370
8802.400000012254 V1 371
8721.800000013427 V1 366
8704.700000013676 V1 366
8720.20000001345 V1 362
8725.70000001337 V1 362
8735.700000013225 V1 362
8783.800000012525 V1 362
8791.600000012411 V1 362
8821.400000011978 V1 362
8943.800000010197 V1 362
8959.500000009968 V1 362
8533.800000016163 V1 363
8564.600000015715 V1 363
8605.000000015127 V1 363
8618.400000014932 V1 363
8623.700000014855 V1 363
8636.000000014676 V1 363
8642.60000001458 V1 363
8650.200000014469 V1 363
8657.70000001436 V1 363
8665.000000014254 V1 363
8682.600000013997 V1 363
8697.100000013786 V1 363
8704.100000013685 V1 363
8711.700000013574 V1 362
8709.500000013606 V1 363
8704.40000001368 V1 362
8682.500000013999 V1 362
8612.500000015018 V1 361
8621.100000014892 V1 361
8636.100000014674 V1 361
8659.80000001433 V1 361
8665.500000014246 V1 361
8696.700000013792 V1 361
8704.900000013673 V1 361
8717.000000013497 V1 361
8723.200000013407 V1 361
8735.700000013225 V1 361
8788.000000012464 V1 361
8795.300000012357 V1 361
8801.500000012267 V1 361
8815.600000012062 V1 361
8979.000000009684 V1 361
8612.30000001502 V1 362
8621.100000014892 V1 362
8636.000000014676 V1 362
8642.100000014587 V1 362
8647.800000014504 V1 362
8664.000000014268 V1 362
8697.700000013778 V1 362
8714.600000013532 V1 363
8722.500000013417 V1 363
8742.500000013126 V1 363
8606.700000015102 V1 365
8623.000000014865 V1 365
8641.400000014597 V1 365
8650.300000014468 V1 365
8660.700000014316 V1 365
8695.100000013816 V1 365
8704.100000013685 V1 365
8715.40000001352 V1 365
8736.00000001322 V1 365
8790.800000012423 V1 365
8800.200000012286 V1 365
8820.60000001199 V1 365
8960.400000009955 V1 365
8611.800000015028 V1 366
8620.800000014897 V1 366
8629.800000014766 V1 366
8638.100000014645 V1 366
8648.300000014497 V1 366
8662.000000014297 V1 366
8681.400000014015 V1 366
8698.500000013766 V1 366
8962.300000009927 V1 364
8812.800000012103 V1 364
8794.000000012376 V1 364
8786.500000012486 V1 364
8775.100000012651 V1 363
8789.00000001245 V1 363
8794.50000001237 V1 363
8807.100000012186 V1 363
8813.300000012096 V1 363
8826.7000000119 V1 363
8881.200000011107 V1 363
8935.200000010322 V1 363
8953.300000010058 V1 363
8988.600000009545 V1 363
8711.700000013574 V1 366
8609.200000015066 V1 364
8634.3000000147 V1 364
8646.600000014521 V1 364
8652.600000014434 V1 364
8663.90000001427 V1 364
8676.600000014085 V1 364
8696.2000000138 V1 364
8705.500000013664 V1 364
8716.000000013511 V1 364
8722.800000013413 V1 364
8736.300000013216 V1 364
8621.100000014892 V1 364
8813.900000012087 V1 371
8936.500000010303 V1 371
8960.600000009952 V1 371
8801.30000001227 V1 377
8812.900000012101 V1 377
8830.300000011848 V1 377
8855.900000011476 V1 377
8884.000000011067 V1 377
8939.100000010265 V1 377
8960.900000009948 V1 377
8733.100000013263 V1 378
8726.000000013366 V1 379
8652.500000014435 V1 380
8709.600000013605 V1 380
8728.900000013324 V1 380
8653.900000014415 V1 381
8705.500000013664 V1 381
8625.000000014836 V1 382
8649.700000014476 V1 382
8666.60000001423 V1 382
8727.600000013343 V1 382
8798.500000012311 V1 382
8657.400000014364 V1 383
8732.400000013273 V1 383
8789.100000012448 V1 377
8618.000000014938 V1 384
8775.500000012646 V1 377
8726.600000013357 V1 377
8719.600000013459 V1 376
8745.100000013088 V1 376
8775.000000012653 V1 376
8794.800000012365 V1 376
8803.700000012235 V1 376
8823.700000011944 V1 376
8855.800000011477 V1 376
8882.800000011084 V1 376
8938.000000010281 V1 376
8533.900000016161 V1 377
8567.500000015672 V1 377
8605.300000015122 V1 377
8623.700000014855 V1 377
8630.500000014756 V1 377
8638.50000001464 V1 377
8648.500000014494 V1 377
