timestamps population node_ids
47.334570287546995 bkg 0
182.40949492862035 bkg 0
265.69139777583104 bkg 0
355.8202412742861 bkg 0
437.9875211845207 bkg 0
597.6793948332704 bkg 0
1171.5179732815088 bkg 0
1618.3130363748917 bkg 0
1649.7609831337102 bkg 0
1735.2437963282582 bkg 0
2069.3069193791002 bkg 0
2404.0777888345524 bkg 0
2625.998794684854 bkg 0
3510.9767710299175 bkg 0
3615.7619387045283 bkg 0
3850.3891594149595 bkg 0
3989.392593239619 bkg 0
4204.41303102587 bkg 0
4277.9547542504615 bkg 0
4653.696954934068 bkg 0
4672.840610350678 bkg 0
4787.772625520674 bkg 0
4878.864937549305 bkg 0
5112.654611887227 bkg 0
5191.722140675499 bkg 0
5281.797214098834 bkg 0
6367.415949187221 bkg 0
6427.744323283493 bkg 0
6511.799698737685 bkg 0
6588.65228783148 bkg 0
6929.348941038218 bkg 0
7089.6446019865 bkg 0
7415.2493720371 bkg 0
7956.072043760385 bkg 0
8418.757656212914 bkg 0
8571.438361265882 bkg 0
8633.304534489078 bkg 0
8693.352824652493 bkg 0
8877.55397522815 bkg 0
9563.607491155815 bkg 0
9730.135959970465 bkg 0
10136.945688291378 bkg 0
10151.385113144608 bkg 0
10506.524572996184 bkg 0
10614.31248665253 bkg 0
10812.080995602468 bkg 0
10864.349778424088 bkg 0
10935.543241782978 bkg 0
11207.884752819398 bkg 0
11553.738879428709 bkg 0
11732.850037169452 bkg 0
12506.79147232715 bkg 0
13123.783453203921 bkg 0
13502.601285662467 bkg 0
13598.68129633193 bkg 0
13770.120783417104 bkg 0
13785.552397131303 bkg 0
14011.773008083099 bkg 0
14155.738974249804 bkg 0
14200.326795974224 bkg 0
14506.768891552922 bkg 0
14671.552124315658 bkg 0
14906.917628328161 bkg 0
15028.16684646433 bkg 0
15177.969982750912 bkg 0
15305.958574965152 bkg 0
15355.01648440967 bkg 0
15380.889052579265 bkg 0
15435.462491384504 bkg 0
15890.149067918515 bkg 0
15968.960649013463 bkg 0
16069.213256263658 bkg 0
16164.608282664134 bkg 0
16366.35064584577 bkg 0
16392.24892481602 bkg 0
16741.913036804886 bkg 0
16750.813544397643 bkg 0
17047.86583052493 bkg 0
17073.463030865856 bkg 0
17602.877333362336 bkg 0
18002.208353604885 bkg 0
18002.219691552415 bkg 0
18026.87223012388 bkg 0
18099.455561491846 bkg 0
18183.994180548456 bkg 0
18358.297739402613 bkg 0
18409.172217439813 bkg 0
18642.725753680876 bkg 0
18662.364563261435 bkg 0
18857.184786822836 bkg 0
18903.244701848536 bkg 0
18999.802083070925 bkg 0
19101.07768304203 bkg 0
19110.00436165769 bkg 0
19341.192686906586 bkg 0
19346.233694545685 bkg 0
19375.681144832502 bkg 0
19449.1961127439 bkg 0
19516.251026948365 bkg 0
19780.300256406754 bkg 0
19801.093914685363 bkg 0
20106.325037931976 bkg 0
20496.24609297992 bkg 0
20644.122875072866 bkg 0
21057.719535684446 bkg 0
21059.61201919642 bkg 0
21273.01811728092 bkg 0
21364.072721986715 bkg 0
21713.32407868492 bkg 0
21925.658448646067 bkg 0
22167.183292330767 bkg 0
22697.91165602529 bkg 0
22809.62382799706 bkg 0
22979.16142949185 bkg 0
23050.11696964868 bkg 0
23666.751449499116 bkg 0
23862.001524709667 bkg 0
24289.455942564313 bkg 0
24695.188462126516 bkg 0
24877.938597643242 bkg 0
25050.55671943089 bkg 0
25175.001229495843 bkg 0
25238.10308732108 bkg 0
25421.148060514977 bkg 0
25425.03859547436 bkg 0
5.779079469996715 bkg 1
459.5837572059137 bkg 1
630.1170247912405 bkg 1
692.5893269732412 bkg 1
856.7879243006782 bkg 1
1042.637795046114 bkg 1
1264.7247318990865 bkg 1
1704.3713042372 bkg 1
2017.2757927889884 bkg 1
2442.448496763547 bkg 1
2480.194094037108 bkg 1
2606.970198099156 bkg 1
3114.2457792145788 bkg 1
3592.332451210354 bkg 1
3678.8171536000013 bkg 1
4009.191097444224 bkg 1
4678.962189201455 bkg 1
4691.736151756441 bkg 1
4902.59917643563 bkg 1
4981.988308573489 bkg 1
5291.710542484142 bkg 1
5513.343190053885 bkg 1
5527.5630431860045 bkg 1
5617.906481817088 bkg 1
5756.536211514812 bkg 1
5792.636244187227 bkg 1
5814.763546681258 bkg 1
5828.016758505825 bkg 1
6432.051035224647 bkg 1
6487.453183741992 bkg 1
6653.456149156925 bkg 1
6801.0740003287865 bkg 1
6899.411441980788 bkg 1
