timestamps population node_ids
23517.175138532708 lgn168T1 0
23559.28834230791 lgn168T1 0
23563.0721924137 lgn168T1 0
23570.471478402564 lgn168T1 0
23595.238859047608 lgn168T1 0
23608.472540332707 lgn168T1 0
23633.250610999723 lgn168T1 0
23640.388562166547 lgn168T1 0
23688.34562889687 lgn168T1 0
23919.4731592664 lgn168T1 0
23500.518211234983 lgn168T1 1
23512.956181393994 lgn168T1 1
23551.649207677372 lgn168T1 1
23601.77831155609 lgn168T1 1
23774.89431812428 lgn168T1 1
23809.792485653954 lgn168T1 1
23928.653678324274 lgn168T1 1
23950.23798721318 lgn168T1 1
23824.072413020607 lgn168T1 2
23835.829121526935 lgn168T1 2
23849.843031563873 lgn168T1 2
23929.048172794555 lgn168T1 2
23996.41807948977 lgn168T1 2
23505.069482167844 lgn168T1 3
23514.764124835503 lgn168T1 3
23570.90067018859 lgn168T1 3
23581.197724166275 lgn168T1 3
23743.612485429436 lgn168T1 3
23746.38416859002 lgn168T1 3
23801.030893538868 lgn168T1 3
23855.264723057426 lgn168T1 3
23964.392251202382 lgn168T1 3
23529.19484072121 lgn168T1 4
23546.414234785272 lgn168T1 4
23598.980268793497 lgn168T1 4
23700.304720186963 lgn168T1 4
23885.31372922916 lgn168T1 4
23947.567506007268 lgn168T1 4
23994.427613721506 lgn168T1 4
23542.37665520012 lgn168T1 5
23609.614637765513 lgn168T1 5
23609.805692349895 lgn168T1 5
23726.269456777274 lgn168T1 5
23742.105396553245 lgn168T1 5
23750.612061151987 lgn168T1 5
23800.022547264984 lgn168T1 5
23837.394530945672 lgn168T1 5
23860.297331694466 lgn168T1 5
23964.655900272966 lgn168T1 5
23975.034771720027 lgn168T1 5
23528.242322074646 lgn168T1 6
23542.95899705003 lgn168T1 6
23804.862091340787 lgn168T1 6
23900.243224525653 lgn168T1 6
23940.562616814826 lgn168T1 6
23526.94403390124 lgn168T1 7
23556.37581800604 lgn168T1 7
23586.453549022528 lgn168T1 7
23659.85948759317 lgn168T1 7
23794.16526323744 lgn168T1 7
23842.61127145996 lgn168T1 7
23886.211737065907 lgn168T1 7
23951.039534210944 lgn168T1 7
23516.48265169241 lgn168T1 8
23639.91095906665 lgn168T1 8
23666.734437921707 lgn168T1 8
23692.103246347684 lgn168T1 8
23792.504584243867 lgn168T1 8
23829.832711504114 lgn168T1 8
23997.97923813676 lgn168T1 8
23538.72230324179 lgn168T1 9
23691.77686172996 lgn168T1 9
23758.617727185432 lgn168T1 9
23520.72956039043 lgn168T1 10
23540.000410320357 lgn168T1 10
23543.487008154025 lgn168T1 10
23786.27111310543 lgn168T1 10
23809.655423940214 lgn168T1 10
23630.404478550652 lgn168T1 11
23631.07607344781 lgn168T1 11
23675.357736748047 lgn168T1 11
23695.542834788124 lgn168T1 11
23887.870684986745 lgn168T1 11
23901.725404356217 lgn168T1 11
23954.053885867797 lgn168T1 11
23970.27455030802 lgn168T1 11
23505.46388663601 lgn168T1 12
23559.79532344638 lgn168T1 12
23577.65973904677 lgn168T1 12
23597.277604786294 lgn168T1 12
23601.158250086053 lgn168T1 12
23608.426957332147 lgn168T1 12
23774.12053516548 lgn168T1 12
23784.860165033762 lgn168T1 12
23799.07178047839 lgn168T1 12
23895.83100544852 lgn168T1 12
23897.488118668643 lgn168T1 12
23916.58113934653 lgn168T1 12
23672.537779195613 lgn168T1 13
23675.473114771637 lgn168T1 13
23775.048342037986 lgn168T1 13
23501.27003748755 lgn168T1 14
23505.132082836353 lgn168T1 14
23537.838744619938 lgn168T1 14
23566.86019412431 lgn168T1 14
23623.82203649609 lgn168T1 14
23658.892611671858 lgn168T1 14
23693.052382771733 lgn168T1 14
23796.688553820113 lgn168T1 14
23885.1536240772 lgn168T1 14
23916.818453362725 lgn168T1 14
