edge_type_id target_query source_query weight_sigma syn_weight target_sections dynamics_params distance_range model_template delay weight_function
100 location=='L2'&ei=='2e1' location=='L2'&ei=='2e1' 5.0 0.00035 "['basal', 'apical']" ExcToExc.json "[0.0, 1e+20]" exp2syn 1.6 gaussianLL_Inter_Layer
101 location=='L2'&ei=='2i1'&pop_name=='PV1' location=='L2'&ei=='2e1' 15.0 0.003 "['somatic', 'basal']" ExcToInh.json "[0.0, 1e+20]" exp2syn 1.2 gaussianLL_Inter_Layer
102 location=='L2'&ei=='2i1'&pop_name=='Sst' location=='L2'&ei=='2e1' 10.0 0.001875 "['somatic', 'basal']" ExcToInh.json "[0.0, 1e+20]" exp2syn 1.5 gaussianLL_Inter_Layer
103 location=='L2'&ei=='2i1'&pop_name=='VIP' location=='L2'&ei=='2e1' 5.0 0.0015 "['somatic', 'basal']" ExcToInh.json "[0.0, 1e+20]" exp2syn 1.5 gaussianLL_Inter_Layer
104 location=='L2'&pop_name=='PV1'&ei=='2i1' location=='L2'&pop_name=='PV1'&ei=='2i1' 15.0 0.002424 "['somatic', 'basal']" InhToInh.json "[0.0, 1e+20]" exp2syn 1.6 gaussianLL_Inter_Layer
105 location=='L2'&pop_name=='Scnn1a'&ei=='2e1' location=='L2'&pop_name=='PV1'&ei=='2i1' 15.0 0.0024 "['somatic', 'basal', 'apical']" InhToExc.json "[0.0, 1e+20]" exp2syn 0.9 gaussianLL_Inter_Layer
106 location=='L2'&pop_name=='VIP'&ei=='2i1' location=='L2'&pop_name=='PV1'&ei=='2i1' 15.0 0.0005279999999999999 "['somatic', 'basal']" InhToInh.json "[0.0, 1e+20]" exp2syn 1.2 gaussianLL_Inter_Layer
107 location=='L2'&pop_name=='VIP'&ei=='2i1' location=='L2'&pop_name=='Sst'&ei=='2i1' 15.0 0.0018479999999999998 ['basal'] InhToInh.json "[0.0, 1e+20]" exp2syn 1.5 gaussianLL_Inter_Layer
108 location=='L2'&pop_name=='PV1'&ei=='2i1' location=='L2'&pop_name=='Sst'&ei=='2i1' 15.0 0.000792 ['basal'] InhToInh.json "[0.0, 1e+20]" exp2syn 1.5 gaussianLL_Inter_Layer
109 location=='L2'&pop_name=='Scnn1a'&ei=='2e1' location=='L2'&pop_name=='Sst'&ei=='2i1' 15.0 0.0024 "['basal', 'apical']" InhToExc.json "[0.0, 1e+20]" exp2syn 1.5 gaussianLL_Inter_Layer
110 location=='L2'&pop_name=='Scnn1a'&ei=='2e1' location=='L2'&pop_name=='VIP'&ei=='2i1' 15.0 4.7999999999999994e-05 "['basal', 'apical']" InhToExc.json "[0.0, 1e+20]" exp2syn 1.5 gaussianLL_Inter_Layer
111 location=='L2'&pop_name=='Sst'&ei=='2i1' location=='L2'&pop_name=='VIP'&ei=='2i1' 15.0 0.047999999999999994 ['basal'] InhToInh.json "[0.0, 1e+20]" exp2syn 1.5 gaussianLL_Inter_Layer
112 location=='L4'&ei=='2e1' location=='L4'&ei=='2e1' 5.0 0.00035 "['basal', 'apical']" ExcToExc.json "[0.0, 1e+20]" exp2syn 1.3 gaussianLL_Inter_Layer
113 location=='L4'&ei=='2i1'&pop_name=='PV1' location=='L4'&ei=='2e1' 15.0 0.003 "['somatic', 'basal']" ExcToInh.json "[0.0, 1e+20]" exp2syn 0.9 gaussianLL_Inter_Layer
114 location=='L4'&ei=='2i1'&pop_name=='Sst' location=='L4'&ei=='2e1' 10.0 0.001875 "['somatic', 'basal']" ExcToInh.json "[0.0, 1e+20]" exp2syn 1.2 gaussianLL_Inter_Layer
115 location=='L4'&ei=='2i1'&pop_name=='VIP' location=='L4'&ei=='2e1' 5.0 0.0015 "['somatic', 'basal']" ExcToInh.json "[0.0, 1e+20]" exp2syn 1.2 gaussianLL_Inter_Layer
116 location=='L4'&pop_name=='PV1'&ei=='2i1' location=='L4'&pop_name=='PV1'&ei=='2i1' 15.0 0.002424 "['somatic', 'basal']" InhToInh.json "[0.0, 1e+20]" exp2syn 1.3 gaussianLL_Inter_Layer
117 location=='L4'&pop_name=='Scnn1a'&ei=='2e1' location=='L4'&pop_name=='PV1'&ei=='2i1' 15.0 0.0024 "['somatic', 'basal', 'apical']" InhToExc.json "[0.0, 1e+20]" exp2syn 0.6 gaussianLL_Inter_Layer
118 location=='L4'&pop_name=='VIP'&ei=='2i1' location=='L4'&pop_name=='PV1'&ei=='2i1' 15.0 0.0005279999999999999 "['somatic', 'basal']" InhToInh.json "[0.0, 1e+20]" exp2syn 0.9 gaussianLL_Inter_Layer
119 location=='L4'&pop_name=='VIP'&ei=='2i1' location=='L4'&pop_name=='Sst'&ei=='2i1' 15.0 0.0018479999999999998 ['basal'] InhToInh.json "[0.0, 1e+20]" exp2syn 1.2 gaussianLL_Inter_Layer
120 location=='L4'&pop_name=='PV1'&ei=='2i1' location=='L4'&pop_name=='Sst'&ei=='2i1' 15.0 0.000792 ['basal'] InhToInh.json "[0.0, 1e+20]" exp2syn 1.2 gaussianLL_Inter_Layer
121 location=='L4'&pop_name=='Scnn1a'&ei=='2e1' location=='L4'&pop_name=='Sst'&ei=='2i1' 15.0 0.0024 "['basal', 'apical']" InhToExc.json "[0.0, 1e+20]" exp2syn 1.2 gaussianLL_Inter_Layer
122 location=='L4'&pop_name=='Scnn1a'&ei=='2e1' location=='L4'&pop_name=='VIP'&ei=='2i1' 15.0 4.7999999999999994e-05 "['basal', 'apical']" InhToExc.json "[0.0, 1e+20]" exp2syn 1.2 gaussianLL_Inter_Layer
123 location=='L4'&pop_name=='Sst'&ei=='2i1' location=='L4'&pop_name=='VIP'&ei=='2i1' 15.0 0.047999999999999994 ['basal'] InhToInh.json "[0.0, 1e+20]" exp2syn 1.2 gaussianLL_Inter_Layer
124 location=='L5'&ei=='2e1' location=='L5'&ei=='2e1' 5.0 0.00035 "['basal', 'apical']" ExcToExc.json "[0.0, 1e+20]" exp2syn 1.5 gaussianLL_Inter_Layer
125 location=='L5'&ei=='2i1'&pop_name=='PV1' location=='L5'&ei=='2e1' 15.0 0.003 "['somatic', 'basal']" ExcToInh.json "[0.0, 1e+20]" exp2syn 1.1 gaussianLL_Inter_Layer
126 location=='L5'&ei=='2i1'&pop_name=='Sst' location=='L5'&ei=='2e1' 10.0 0.001875 "['somatic', 'basal']" ExcToInh.json "[0.0, 1e+20]" exp2syn 1.4 gaussianLL_Inter_Layer
127 location=='L5'&ei=='2i1'&pop_name=='VIP' location=='L5'&ei=='2e1' 5.0 0.0015 "['somatic', 'basal']" ExcToInh.json "[0.0, 1e+20]" exp2syn 1.4 gaussianLL_Inter_Layer
128 location=='L5'&pop_name=='PV1'&ei=='2i1' location=='L5'&pop_name=='PV1'&ei=='2i1' 15.0 0.002424 "['somatic', 'basal']" InhToInh.json "[0.0, 1e+20]" exp2syn 1.5 gaussianLL_Inter_Layer
129 location=='L5'&pop_name=='Scnn1a'&ei=='2e1' location=='L5'&pop_name=='PV1'&ei=='2i1' 15.0 0.0024 "['somatic', 'basal', 'apical']" InhToExc.json "[0.0, 1e+20]" exp2syn 0.8 gaussianLL_Inter_Layer
130 location=='L5'&pop_name=='VIP'&ei=='2i1' location=='L5'&pop_name=='PV1'&ei=='2i1' 15.0 0.0005279999999999999 "['somatic', 'basal']" InhToInh.json "[0.0, 1e+20]" exp2syn 1.1 gaussianLL_Inter_Layer
131 location=='L5'&pop_name=='VIP'&ei=='2i1' location=='L5'&pop_name=='Sst'&ei=='2i1' 15.0 0.0018479999999999998 ['basal'] InhToInh.json "[0.0, 1e+20]" exp2syn 1.4 gaussianLL_Inter_Layer
132 location=='L5'&pop_name=='PV1'&ei=='2i1' location=='L5'&pop_name=='Sst'&ei=='2i1' 15.0 0.000792 ['basal'] InhToInh.json "[0.0, 1e+20]" exp2syn 1.4 gaussianLL_Inter_Layer
133 location=='L5'&pop_name=='Scnn1a'&ei=='2e1' location=='L5'&pop_name=='Sst'&ei=='2i1' 15.0 0.0024 "['basal', 'apical']" InhToExc.json "[0.0, 1e+20]" exp2syn 1.4 gaussianLL_Inter_Layer
134 location=='L5'&pop_name=='Scnn1a'&ei=='2e1' location=='L5'&pop_name=='VIP'&ei=='2i1' 15.0 4.7999999999999994e-05 "['basal', 'apical']" InhToExc.json "[0.0, 1e+20]" exp2syn 1.4 gaussianLL_Inter_Layer
135 location=='L5'&pop_name=='Sst'&ei=='2i1' location=='L5'&pop_name=='VIP'&ei=='2i1' 15.0 0.047999999999999994 ['basal'] InhToInh.json "[0.0, 1e+20]" exp2syn 1.4 gaussianLL_Inter_Layer
136 location=='L6'&ei=='2e1' location=='L6'&ei=='2e1' 5.0 0.00035 "['basal', 'apical']" ExcToExc.json "[0.0, 1e+20]" exp2syn 1.8 gaussianLL_Inter_Layer
137 location=='L6'&ei=='2i1'&pop_name=='PV1' location=='L6'&ei=='2e1' 15.0 0.003 "['somatic', 'basal']" ExcToInh.json "[0.0, 1e+20]" exp2syn 1.4 gaussianLL_Inter_Layer
138 location=='L6'&ei=='2i1'&pop_name=='Sst' location=='L6'&ei=='2e1' 10.0 0.001875 "['somatic', 'basal']" ExcToInh.json "[0.0, 1e+20]" exp2syn 1.7 gaussianLL_Inter_Layer
139 location=='L6'&ei=='2i1'&pop_name=='VIP' location=='L6'&ei=='2e1' 5.0 0.0015 "['somatic', 'basal']" ExcToInh.json "[0.0, 1e+20]" exp2syn 1.7 gaussianLL_Inter_Layer
140 location=='L6'&pop_name=='PV1'&ei=='2i1' location=='L6'&pop_name=='PV1'&ei=='2i1' 15.0 0.002424 "['somatic', 'basal']" InhToInh.json "[0.0, 1e+20]" exp2syn 1.8 gaussianLL_Inter_Layer
141 location=='L6'&pop_name=='Scnn1a'&ei=='2e1' location=='L6'&pop_name=='PV1'&ei=='2i1' 15.0 0.0024 "['somatic', 'basal', 'apical']" InhToExc.json "[0.0, 1e+20]" exp2syn 1.1 gaussianLL_Inter_Layer
142 location=='L6'&pop_name=='VIP'&ei=='2i1' location=='L6'&pop_name=='PV1'&ei=='2i1' 15.0 0.0005279999999999999 "['somatic', 'basal']" InhToInh.json "[0.0, 1e+20]" exp2syn 1.4 gaussianLL_Inter_Layer
143 location=='L6'&pop_name=='VIP'&ei=='2i1' location=='L6'&pop_name=='Sst'&ei=='2i1' 15.0 0.0018479999999999998 ['basal'] InhToInh.json "[0.0, 1e+20]" exp2syn 1.7 gaussianLL_Inter_Layer
144 location=='L6'&pop_name=='PV1'&ei=='2i1' location=='L6'&pop_name=='Sst'&ei=='2i1' 15.0 0.000792 ['basal'] InhToInh.json "[0.0, 1e+20]" exp2syn 1.7 gaussianLL_Inter_Layer
145 location=='L6'&pop_name=='Scnn1a'&ei=='2e1' location=='L6'&pop_name=='Sst'&ei=='2i1' 15.0 0.0024 "['basal', 'apical']" InhToExc.json "[0.0, 1e+20]" exp2syn 1.7 gaussianLL_Inter_Layer
146 location=='L6'&pop_name=='Scnn1a'&ei=='2e1' location=='L6'&pop_name=='VIP'&ei=='2i1' 15.0 4.7999999999999994e-05 "['basal', 'apical']" InhToExc.json "[0.0, 1e+20]" exp2syn 1.7 gaussianLL_Inter_Layer
147 location=='L6'&pop_name=='Sst'&ei=='2i1' location=='L6'&pop_name=='VIP'&ei=='2i1' 15.0 0.047999999999999994 ['basal'] InhToInh.json "[0.0, 1e+20]" exp2syn 1.7 gaussianLL_Inter_Layer
148 location=='L4'&ei=='2e1' location=='L2'&ei=='2e1' 5.0 0.00035 "['basal', 'apical']" ExcToExc.json "[0.0, 1e+20]" exp2syn 1.6 gaussianLL_Laminar
149 location=='L5'&ei=='2e1' location=='L2'&ei=='2e1' 5.0 0.0007 "['basal', 'apical']" ExcToExc.json "[0.0, 1e+20]" exp2syn 1.8 gaussianLL_Laminar
150 location=='L6'&ei=='2e1' location=='L2'&ei=='2e1' 5.0 0.00035 "['basal', 'apical']" ExcToExc.json "[0.0, 1e+20]" exp2syn 4.9 gaussianLL_Laminar
151 location=='L4'&ei=='2i1'&pop_name=='PV1' location=='L2'&ei=='2e1' 15.0 0.006 "['somatic', 'basal']" ExcToInh.json "[0.0, 1e+20]" exp2syn 1.2 gaussianLL_Laminar
152 location=='L4'&ei=='2i1'&pop_name=='Sst' location=='L2'&ei=='2e1' 10.0 0.00375 "['somatic', 'basal']" ExcToInh.json "[0.0, 1e+20]" exp2syn 1.5 gaussianLL_Laminar
153 location=='L4'&ei=='2i1'&pop_name=='VIP' location=='L2'&ei=='2e1' 5.0 0.003 "['somatic', 'basal']" ExcToInh.json "[0.0, 1e+20]" exp2syn 1.5 gaussianLL_Laminar
154 location=='L5'&ei=='2i1'&pop_name=='PV1' location=='L2'&ei=='2e1' 15.0 0.003 "['somatic', 'basal']" ExcToInh.json "[0.0, 1e+20]" exp2syn 1.4 gaussianLL_Laminar
155 location=='L5'&ei=='2i1'&pop_name=='Sst' location=='L2'&ei=='2e1' 10.0 0.001875 "['somatic', 'basal']" ExcToInh.json "[0.0, 1e+20]" exp2syn 1.7 gaussianLL_Laminar
156 location=='L5'&ei=='2i1'&pop_name=='VIP' location=='L2'&ei=='2e1' 5.0 0.0015 "['somatic', 'basal']" ExcToInh.json "[0.0, 1e+20]" exp2syn 1.7 gaussianLL_Laminar
157 location=='L6'&ei=='2i1'&pop_name=='PV1' location=='L2'&ei=='2e1' 15.0 0.003 "['somatic', 'basal']" ExcToInh.json "[0.0, 1e+20]" exp2syn 4.5 gaussianLL_Laminar
158 location=='L6'&ei=='2i1'&pop_name=='Sst' location=='L2'&ei=='2e1' 10.0 0.001875 "['somatic', 'basal']" ExcToInh.json "[0.0, 1e+20]" exp2syn 4.8 gaussianLL_Laminar
159 location=='L6'&ei=='2i1'&pop_name=='VIP' location=='L2'&ei=='2e1' 5.0 0.0015 "['somatic', 'basal']" ExcToInh.json "[0.0, 1e+20]" exp2syn 4.8 gaussianLL_Laminar
160 location=='L4'&ei=='2i1'&pop_name=='PV1' location=='L2'&ei=='2i1'&pop_name=='Sst' 15.0 0.000792 ['basal'] InhToInh.json "[0.0, 1e+20]" exp2syn 1.5 gaussianLL_Laminar
161 location=='L5'&ei=='2i1'&pop_name=='PV1' location=='L2'&ei=='2i1'&pop_name=='Sst' 15.0 0.000792 ['basal'] InhToInh.json "[0.0, 1e+20]" exp2syn 1.7 gaussianLL_Laminar
162 location=='L6'&ei=='2i1'&pop_name=='PV1' location=='L2'&ei=='2i1'&pop_name=='Sst' 15.0 0.000792 ['basal'] InhToInh.json "[0.0, 1e+20]" exp2syn 4.8 gaussianLL_Laminar
163 location=='L4'&ei=='2i1'&pop_name=='VIP' location=='L2'&ei=='2i1'&pop_name=='Sst' 15.0 0.0018479999999999998 ['basal'] InhToInh.json "[0.0, 1e+20]" exp2syn 1.5 gaussianLL_Laminar
164 location=='L5'&ei=='2i1'&pop_name=='VIP' location=='L2'&ei=='2i1'&pop_name=='Sst' 15.0 0.0018479999999999998 ['basal'] InhToInh.json "[0.0, 1e+20]" exp2syn 1.7 gaussianLL_Laminar
165 location=='L6'&ei=='2i1'&pop_name=='VIP' location=='L2'&ei=='2i1'&pop_name=='Sst' 15.0 0.0018479999999999998 ['basal'] InhToInh.json "[0.0, 1e+20]" exp2syn 4.8 gaussianLL_Laminar
166 location=='L4'&ei=='2i1'&pop_name=='VIP' location=='L2'&ei=='2i1'&pop_name=='PV1' 15.0 0.0005279999999999999 "['somatic', 'basal']" InhToInh.json "[0.0, 1e+20]" exp2syn 1.2 gaussianLL_Laminar
167 location=='L5'&ei=='2i1'&pop_name=='VIP' location=='L2'&ei=='2i1'&pop_name=='PV1' 15.0 0.0005279999999999999 "['somatic', 'basal']" InhToInh.json "[0.0, 1e+20]" exp2syn 1.4 gaussianLL_Laminar
168 location=='L6'&ei=='2i1'&pop_name=='VIP' location=='L2'&ei=='2i1'&pop_name=='PV1' 15.0 0.0005279999999999999 "['somatic', 'basal']" InhToInh.json "[0.0, 1e+20]" exp2syn 4.5 gaussianLL_Laminar
169 location=='L4'&ei=='2i1'&pop_name=='PV1' location=='L2'&ei=='2i1'&pop_name=='PV1' 15.0 0.002424 "['somatic', 'basal']" InhToInh.json "[0.0, 1e+20]" exp2syn 1.6 gaussianLL_Laminar
170 location=='L5'&ei=='2i1'&pop_name=='PV1' location=='L2'&ei=='2i1'&pop_name=='PV1' 15.0 0.002424 "['somatic', 'basal']" InhToInh.json "[0.0, 1e+20]" exp2syn 1.8 gaussianLL_Laminar
171 location=='L6'&ei=='2i1'&pop_name=='PV1' location=='L2'&ei=='2i1'&pop_name=='PV1' 15.0 0.002424 "['somatic', 'basal']" InhToInh.json "[0.0, 1e+20]" exp2syn 4.9 gaussianLL_Laminar
172 location=='L4'&ei=='2i1'&pop_name=='Sst' location=='L2'&ei=='2i1'&pop_name=='VIP' 15.0 0.047999999999999994 ['basal'] InhToInh.json "[0.0, 1e+20]" exp2syn 1.5 gaussianLL_Laminar
173 location=='L5'&ei=='2i1'&pop_name=='Sst' location=='L2'&ei=='2i1'&pop_name=='VIP' 15.0 0.047999999999999994 ['basal'] InhToInh.json "[0.0, 1e+20]" exp2syn 1.7 gaussianLL_Laminar
174 location=='L6'&ei=='2i1'&pop_name=='Sst' location=='L2'&ei=='2i1'&pop_name=='VIP' 15.0 0.047999999999999994 ['basal'] InhToInh.json "[0.0, 1e+20]" exp2syn 4.8 gaussianLL_Laminar
175 location=='L4'&ei=='2e1' location=='L2'&ei=='2i1'&pop_name=='Sst' 15.0 0.0024 "['basal', 'apical']" InhToExc.json "[0.0, 1e+20]" exp2syn 1.5 gaussianLL_Laminar
176 location=='L4'&ei=='2e1' location=='L2'&ei=='2i1'&pop_name=='VIP' 15.0 4.7999999999999994e-05 "['basal', 'apical']" InhToExc.json "[0.0, 1e+20]" exp2syn 1.5 gaussianLL_Laminar
177 location=='L4'&ei=='2e1' location=='L2'&ei=='2i1'&pop_name=='PV1' 15.0 0.0024 "['somatic', 'basal', 'apical']" InhToExc.json "[0.0, 1e+20]" exp2syn 0.9 gaussianLL_Laminar
178 location=='L5'&ei=='2e1' location=='L2'&ei=='2i1'&pop_name=='PV1' 15.0 0.0048 "['somatic', 'basal', 'apical']" InhToExc.json "[0.0, 1e+20]" exp2syn 1.1 gaussianLL_Laminar
179 location=='L5'&ei=='2e1' location=='L2'&ei=='2i1'&pop_name=='Sst' 15.0 0.0048 "['basal', 'apical']" InhToExc.json "[0.0, 1e+20]" exp2syn 1.7 gaussianLL_Laminar
180 location=='L5'&ei=='2e1' location=='L2'&ei=='2i1'&pop_name=='VIP' 15.0 9.599999999999999e-05 "['basal', 'apical']" InhToExc.json "[0.0, 1e+20]" exp2syn 1.7 gaussianLL_Laminar
181 location=='L6'&ei=='2e1' location=='L2'&ei=='2i1'&pop_name=='PV1' 15.0 0.0024 "['somatic', 'basal', 'apical']" InhToExc.json "[0.0, 1e+20]" exp2syn 4.2 gaussianLL_Laminar
182 location=='L6'&ei=='2e1' location=='L2'&ei=='2i1'&pop_name=='Sst' 15.0 0.0024 "['basal', 'apical']" InhToExc.json "[0.0, 1e+20]" exp2syn 4.8 gaussianLL_Laminar
183 location=='L6'&ei=='2e1' location=='L2'&ei=='2i1'&pop_name=='VIP' 15.0 4.7999999999999994e-05 "['basal', 'apical']" InhToExc.json "[0.0, 1e+20]" exp2syn 4.8 gaussianLL_Laminar
184 location=='L2'&ei=='2e1' location=='L4'&ei=='2e1' 5.0 0.0021 "['basal', 'apical']" ExcToExc.json "[0.0, 1e+20]" exp2syn 2.3 gaussianLL_Laminar
185 location=='L5'&ei=='2e1' location=='L4'&ei=='2e1' 5.0 0.00175 "['basal', 'apical']" ExcToExc.json "[0.0, 1e+20]" exp2syn 1.5 gaussianLL_Laminar
