node_type_id dynamics_params model_type rotation_angle_xaxis morphology Int rotation_angle_yaxis ei model_processing rotation_angle_zaxis model_template Sig location pop_name
100 472363762_fit.json biophysical 3.74 Scnn1a_473845048_m.swc P2 -3.14 2e1 aibs_perisomatic -3.74 ctdb:Biophys1.hoc 1.45 L6 Scnn1a
101 472912177_fit.json biophysical 3.74 Pvalb_470522102_m.swc P2 -3.14 2i1 aibs_perisomatic -3.74 ctdb:Biophys1.hoc 4.5 L6 PV1
102 323452196_fit.json biophysical 3.74 Sst_513556739_m.swc P2 -3.14 2i1 aibs_perisomatic -3.74 ctdb:Biophys1.hoc 4 L6 Sst
103 475585413_fit.json biophysical 3.74 Htr3a_492100857_m.swc P2 -3.14 2i1 aibs_perisomatic -3.74 ctdb:Biophys1.hoc 2 L6 VIP
104 472363762_fit.json biophysical 3.74 Scnn1a_473845048_m.swc P2 -3.14 2e1 aibs_perisomatic -3.74 ctdb:Biophys1.hoc 1.45 L5 Scnn1a
105 472912177_fit.json biophysical 3.74 Pvalb_470522102_m.swc P2 -3.14 2i1 aibs_perisomatic -3.74 ctdb:Biophys1.hoc 4.5 L5 PV1
106 323452196_fit.json biophysical 3.74 Sst_513556739_m.swc P2 -3.14 2i1 aibs_perisomatic -3.74 ctdb:Biophys1.hoc 4 L5 Sst
107 475585413_fit.json biophysical 3.74 Htr3a_492100857_m.swc P2 -3.14 2i1 aibs_perisomatic -3.74 ctdb:Biophys1.hoc 2 L5 VIP
108 472363762_fit.json biophysical 3.74 Scnn1a_473845048_m.swc P2 -3.14 2e1 aibs_perisomatic -3.74 ctdb:Biophys1.hoc 1.45 L4 Scnn1a
109 472912177_fit.json biophysical 3.74 Pvalb_470522102_m.swc P2 -3.14 2i1 aibs_perisomatic -3.74 ctdb:Biophys1.hoc 4.5 L4 PV1
110 323452196_fit.json biophysical 3.74 Sst_513556739_m.swc P2 -3.14 2i1 aibs_perisomatic -3.74 ctdb:Biophys1.hoc 4 L4 Sst
111 475585413_fit.json biophysical 3.74 Htr3a_492100857_m.swc P2 -3.14 2i1 aibs_perisomatic -3.74 ctdb:Biophys1.hoc 2 L4 VIP
112 472363762_fit.json biophysical 3.74 Scnn1a_473845048_m.swc P2 -3.14 2e1 aibs_perisomatic -3.74 ctdb:Biophys1.hoc 1.45 L2 Scnn1a
113 472912177_fit.json biophysical 3.74 Pvalb_470522102_m.swc P2 -3.14 2i1 aibs_perisomatic -3.74 ctdb:Biophys1.hoc 4.5 L2 PV1
114 323452196_fit.json biophysical 3.74 Sst_513556739_m.swc P2 -3.14 2i1 aibs_perisomatic -3.74 ctdb:Biophys1.hoc 4 L2 Sst
115 475585413_fit.json biophysical 3.74 Htr3a_492100857_m.swc P2 -3.14 2i1 aibs_perisomatic -3.74 ctdb:Biophys1.hoc 2 L2 VIP
