timestamps population node_ids
279.7000000001293 V1 33
13613.999999942236 V1 59
13627.899999942034 V1 59
13639.399999941868 V1 59
13657.499999941603 V1 59
13672.799999941379 V1 59
13690.399999941123 V1 59
13703.69999994093 V1 59
13717.599999940727 V1 59
13732.299999940515 V1 59
13745.59999994032 V1 59
13764.299999940049 V1 59
13780.399999939817 V1 59
13795.79999993959 V1 59
13807.899999939416 V1 59
13823.499999939188 V1 59
13845.99999993886 V1 59
13861.899999938629 V1 59
13876.599999938415 V1 59
13890.099999938218 V1 59
13907.89999993796 V1 59
13921.299999937764 V1 59
13932.299999937604 V1 59
13944.89999993742 V1 59
13958.399999937224 V1 59
13972.899999937012 V1 59
13987.799999936797 V1 59
13998.999999936634 V1 59
13601.099999942424 V1 59
13555.999999943078 V1 60
13581.099999942715 V1 59
13547.199999943208 V1 59
13556.499999943071 V1 58
13571.99999994285 V1 58
13589.799999942588 V1 58
13605.399999942361 V1 58
13622.599999942111 V1 58
13638.39999994188 V1 58
13658.099999941594 V1 58
13674.19999994136 V1 58
13692.999999941088 V1 58
13709.699999940845 V1 58
13724.599999940627 V1 58
13739.999999940403 V1 58
13760.6999999401 V1 58
13779.49999993983 V1 58
13796.199999939585 V1 58
13808.699999939405 V1 58
13824.999999939166 V1 58
13849.699999938806 V1 58
13867.29999993855 V1 58
13880.39999993836 V1 58
13894.099999938158 V1 58
13915.899999937845 V1 58
13929.399999937646 V1 58
13943.099999937449 V1 58
13957.49999993724 V1 58
13973.299999937008 V1 58
13990.199999936764 V1 58
13566.599999942924 V1 59
13990.29999993676 V1 57
13572.499999942842 V1 60
13606.599999942344 V1 60
13644.399999941794 V1 62
13662.699999941527 V1 62
13677.69999994131 V1 62
13694.499999941065 V1 62
13710.899999940826 V1 62
13725.69999994061 V1 62
13739.899999940402 V1 62
13760.199999940107 V1 62
13779.699999939825 V1 62
13793.999999939617 V1 62
13806.89999993943 V1 62
13824.299999939174 V1 62
13848.499999938824 V1 62
